"计圈","时间","累积时间","距离公里","平均配速分钟/千米","平均坡度调整配速分钟/千米","平均心率bpm","最大心率bpm","累计爬升米","累计下降米","平均功率瓦","平均 W/kg","最大功率瓦","最大 W/kg","平均步频每分钟步数","平均触地时间毫秒","平均 GCT 平衡%","平均步长米","平均垂直摆动cm","平均垂直步幅比%","热量消耗卡路里","平均温度","最佳配速分钟/千米","最高步频每分钟步数","移动时间","平均移动配速分钟/千米","平均步速损失厘米/秒","平均步速损失百分比%"
"1","6:23.0","6:23.0","1.00","6:22","6:22","123","138","","13","","","","","","","","","","","","","6:22","","6:23.0","6:22","",""
"2","6:05.0","12:28.0","1.00","6:04","6:04","139","150","2","10","","","","","","","","","","","","","6:04","","6:05.0","6:04","",""
"3","6:01.0","18:29.0","1.00","6:01","6:01","143","150","1","25","","","","","","","","","","","","","6:01","","6:01.0","6:01","",""
"4","7:42.0","26:11.0","1.00","7:42","7:42","144","159","5","8","","","","","","","","","","","","","7:42","","7:42.0","7:42","",""
"5","9:21.0","35:32.0","1.00","9:21","9:21","144","156","8","18","","","","","","","","","","","","","9:21","","9:21.0","9:21","",""
"6","9:35.0","45:07.0","1.00","9:35","9:35","147","156","9","10","","","","","","","","","","","","","9:35","","9:35.0","9:35","",""
"7","6:17.0","51:24.0","1.00","6:17","6:17","160","169","12","11","","","","","","","","","","","","","6:17","","6:17.0","6:17","",""
"8","6:32.0","57:56.0","1.00","6:32","6:32","165","171","17","19","","","","","","","","","","","","","6:32","","6:32.0","6:32","",""
"9","9:36.0","67:32.0","1.00","9:35","9:35","146","181","121","117","","","","","","","","","","","","","9:35","","9:36.0","9:35","",""
"10","7:16.0","74:48.0","1.00","7:15","7:15","155","175","12","11","","","","","","","","","","","","","7:15","","7:16.0","7:15","",""
"11","6:33.0","81:21.0","1.00","6:34","6:34","165","173","5","6","","","","","","","","","","","","","6:34","","6:33.0","6:34","",""
"12","6:08.0","87:29.0","1.00","6:08","6:08","166","171","3","3","","","","","","","","","","","","","6:08","","6:08.0","6:08","",""
"13","13:01.0","100:30.0","1.00","13:02","13:02","128","174","382","384","","","","","","","","","","","","","13:02","","13:01.0","13:02","",""
"14","6:19.0","106:49.0","1.00","6:19","6:19","165","174","8","5","","","","","","","","","","","","","6:19","","6:19.0","6:19","",""
"15","5:50.0","112:39.0","1.00","5:50","5:50","174","178","6","7","","","","","","","","","","","","","5:50","","5:50.0","5:50","",""
"16","4:25.0","117:04.0","0.73","6:04","6:04","172","177","9","9","","","","","","","","","","","","","6:04","","4:25.0","6:04","",""
"统计","117:18.0","117:18.0","15.56","7:32","7:32","154","181","310.6","","","","","","","","","","","","927","","7:32","","117:18.0","7:32","--","--"
