"计圈","时间","累积时间","距离公里","平均配速分钟/千米","平均坡度调整配速分钟/千米","平均心率bpm","最大心率bpm","累计爬升米","累计下降米","平均功率瓦","平均 W/kg","最大功率瓦","最大 W/kg","平均步频每分钟步数","平均触地时间毫秒","平均 GCT 平衡%","平均步长米","平均垂直摆动cm","平均垂直步幅比%","热量消耗卡路里","平均温度","最佳配速分钟/千米","最高步频每分钟步数","移动时间","平均移动配速分钟/千米","平均步速损失厘米/秒","平均步速损失百分比%"
"1","4:47.0","4:47.0","1.00","4:46","4:46","179","191","4","5","","","","","","","","","","","","","4:46","","4:47.0","4:46","",""
"2","5:01.0","9:48.0","1.00","5:01","5:01","171","190","4","3","","","","","","","","","","","","","5:01","","5:01.0","5:01","",""
"3","4:41.0","14:29.0","1.00","4:41","4:41","174","178","3","4","","","","","","","","","","","","","4:41","","4:41.0","4:41","",""
"4","4:41.0","19:10.0","1.00","4:41","4:41","175","178","5","6","","","","","","","","","","","","","4:41","","4:41.0","4:41","",""
"5","4:39.0","23:49.0","1.00","4:39","4:39","178","182","4","4","","","","","","","","","","","","","4:39","","4:39.0","4:39","",""
"6","4:36.0","28:25.0","1.00","4:36","4:36","181","184","4","3","","","","","","","","","","","","","4:36","","4:36.0","4:36","",""
"7","4:36.0","33:01.0","1.00","4:36","4:36","184","189","6","4","","","","","","","","","","","","","4:36","","4:36.0","4:36","",""
"8","4:35.0","37:36.0","1.00","4:35","4:35","183","188","3","5","","","","","","","","","","","","","4:35","","4:35.0","4:35","",""
"9","4:36.0","42:12.0","1.00","4:36","4:36","183","188","4","6","","","","","","","","","","","","","4:36","","4:36.0","4:36","",""
"10","4:36.0","46:48.0","1.00","4:36","4:36","184","188","7","8","","","","","","","","","","","","","4:36","","4:36.0","4:36","",""
"11","4:33.0","51:21.0","1.00","4:33","4:33","187","192","6","7","","","","","","","","","","","","","4:33","","4:33.0","4:33","",""
"12","4:39.0","56:00.0","1.00","4:39","4:39","187","191","6","5","","","","","","","","","","","","","4:39","","4:39.0","4:39","",""
"13","4:38.0","60:38.0","1.00","4:37","4:37","187","196","6","3","","","","","","","","","","","","","4:37","","4:38.0","4:37","",""
"14","4:35.0","65:13.0","1.00","4:35","4:35","185","193","7","5","","","","","","","","","","","","","4:35","","4:35.0","4:35","",""
"15","4:38.0","69:51.0","1.00","4:38","4:38","184","188","11","10","","","","","","","","","","","","","4:38","","4:38.0","4:38","",""
"16","4:42.0","74:33.0","1.00","4:42","4:42","185","190","10","4","","","","","","","","","","","","","4:42","","4:42.0","4:42","",""
"17","4:35.0","79:08.0","1.00","4:35","4:35","186","190","4","10","","","","","","","","","","","","","4:35","","4:35.0","4:35","",""
"18","4:43.0","83:51.0","1.00","4:43","4:43","185","189","4","8","","","","","","","","","","","","","4:43","","4:43.0","4:43","",""
"19","9:59.0","93:50.0","1.00","9:59","9:59","181","191","8","10","","","","","","","","","","","","","9:59","","9:59.0","9:59","",""
"20","5:24.0","99:14.0","1.00","5:24","5:24","182","190","5","5","","","","","","","","","","","","","5:24","","5:24.0","5:24","",""
"21","4:58.0","104:12.0","1.00","4:58","4:58","175","184","5","5","","","","","","","","","","","","","4:58","","4:58.0","4:58","",""
"22","1:25.0","105:37.0","0.32","4:25","4:25","184","188","1","","","","","","","","","","","","","","4:25","","1:25.0","4:25","",""
"统计","105:58.0","105:58.0","21.36","4:57","4:57","182","196","48.0","","","","","","","","","","","","1297","","4:57","","105:58.0","4:57","--","--"
