"计圈","时间","累积时间","距离公里","平均配速分钟/千米","平均坡度调整配速分钟/千米","平均心率bpm","最大心率bpm","累计爬升米","累计下降米","平均功率瓦","平均 W/kg","最大功率瓦","最大 W/kg","平均步频每分钟步数","平均触地时间毫秒","平均 GCT 平衡%","平均步长米","平均垂直摆动cm","平均垂直步幅比%","热量消耗卡路里","平均温度","最佳配速分钟/千米","最高步频每分钟步数","移动时间","平均移动配速分钟/千米","平均步速损失厘米/秒","平均步速损失百分比%"
"1","6:04.0","6:04.0","1.00","6:03","6:03","126","139","","","","","","","","","","","","","","","6:03","","6:04.0","6:03","",""
"2","5:57.0","12:01.0","0.99","5:59","5:59","139","145","","","","","","","","","","","","","","","5:59","","5:57.0","5:59","",""
"3","6:01.0","18:02.0","1.00","6:00","6:00","145","150","","","","","","","","","","","","","","","6:00","","6:01.0","6:00","",""
"4","5:54.0","23:56.0","1.00","5:55","5:55","152","156","","","","","","","","","","","","","","","5:55","","5:54.0","5:55","",""
"5","5:48.0","29:44.0","1.00","5:46","5:46","158","162","","","","","","","","","","","","","","","5:46","","5:48.0","5:46","",""
"6","5:45.0","35:29.0","1.00","5:45","5:45","165","174","","","","","","","","","","","","","","","5:45","","5:45.0","5:45","",""
"7","5:39.0","41:08.0","1.00","5:40","5:40","173","179","","","","","","","","","","","","","","","5:40","","5:39.0","5:40","",""
"8","5:32.0","46:40.0","0.99","5:34","5:34","179","186","","","","","","","","","","","","","","","5:34","","5:32.0","5:34","",""
"9","5:32.0","52:12.0","1.00","5:33","5:33","186","190","","","","","","","","","","","","","","","5:33","","5:32.0","5:33","",""
"10","5:19.0","57:31.0","1.00","5:19","5:19","189","191","","","","","","","","","","","","","","","5:19","","5:19.0","5:19","",""
"11","0:07.0","57:38.0","0.01","12:09","12:09","190","190","","","","","","","","","","","","","","","12:09","","0:07.0","12:09","",""
"统计","58:01.0","58:01.0","10.02","5:47","5:47","161","191","","","","","","","","","","","","","589","","5:47","","58:01.0","5:47","--","--"
