"计圈","时间","累积时间","距离公里","平均配速分钟/千米","平均坡度调整配速分钟/千米","平均心率bpm","最大心率bpm","累计爬升米","累计下降米","平均功率瓦","平均 W/kg","最大功率瓦","最大 W/kg","平均步频每分钟步数","平均触地时间毫秒","平均 GCT 平衡%","平均步长米","平均垂直摆动cm","平均垂直步幅比%","热量消耗卡路里","平均温度","最佳配速分钟/千米","最高步频每分钟步数","移动时间","平均移动配速分钟/千米","平均步速损失厘米/秒","平均步速损失百分比%"
"1","6:45.0","6:45.0","1.00","6:44","6:44","122","130","","","","","","","","","","","","","","","6:44","","6:45.0","6:44","",""
"2","6:25.0","13:10.0","1.00","6:26","6:26","134","138","","","","","","","","","","","","","","","6:26","","6:25.0","6:26","",""
"3","6:31.0","19:41.0","1.00","6:29","6:29","141","146","","","","","","","","","","","","","","","6:29","","6:31.0","6:29","",""
"4","6:26.0","26:07.0","0.99","6:28","6:28","150","160","","","","","","","","","","","","","","","6:28","","6:26.0","6:28","",""
"5","0:27.0","26:34.0","0.04","12:13","12:13","159","162","","","","","","","","","","","","","","","12:13","","0:27.0","12:13","",""
"统计","26:43.0","26:43.0","4.30","6:12","6:12","137","162","","","","","","","","","","","","","239","","6:12","","26:43.0","6:12","--","--"
