"计圈","时间","累积时间","距离公里","平均配速分钟/千米","平均坡度调整配速分钟/千米","平均心率bpm","最大心率bpm","累计爬升米","累计下降米","平均功率瓦","平均 W/kg","最大功率瓦","最大 W/kg","平均步频每分钟步数","平均触地时间毫秒","平均 GCT 平衡%","平均步长米","平均垂直摆动cm","平均垂直步幅比%","热量消耗卡路里","平均温度","最佳配速分钟/千米","最高步频每分钟步数","移动时间","平均移动配速分钟/千米","平均步速损失厘米/秒","平均步速损失百分比%"
"1","6:11.0","6:11.0","1.00","6:10","6:10","126","136","8","7","","","","","","","","","","","","","6:10","","6:11.0","6:10","",""
"2","5:59.0","12:10.0","1.00","5:59","5:59","138","149","9","6","","","","","","","","","","","","","5:59","","5:59.0","5:59","",""
"3","5:42.0","17:52.0","1.00","5:42","5:42","139","146","3","12","","","","","","","","","","","","","5:42","","5:42.0","5:42","",""
"4","0:05.0","17:57.0","0.01","6:24","6:24","139","140","","","","","","","","","","","","","","","6:24","","0:05.0","6:24","",""
"统计","18:00.0","18:00.0","3.02","5:57","5:57","134","149","15.0","","","","","","","","","","","","177","","5:57","","18:00.0","5:57","--","--"
