"计圈","时间","累积时间","距离公里","平均配速分钟/千米","平均坡度调整配速分钟/千米","平均心率bpm","最大心率bpm","累计爬升米","累计下降米","平均功率瓦","平均 W/kg","最大功率瓦","最大 W/kg","平均步频每分钟步数","平均触地时间毫秒","平均 GCT 平衡%","平均步长米","平均垂直摆动cm","平均垂直步幅比%","热量消耗卡路里","平均温度","最佳配速分钟/千米","最高步频每分钟步数","移动时间","平均移动配速分钟/千米","平均步速损失厘米/秒","平均步速损失百分比%"
"1","6:09.0","6:09.0","1.01","6:06","6:06","131","141","","","","","","","","","","","","","","","6:06","","6:09.0","6:06","",""
"2","6:01.0","12:10.0","1.01","5:58","5:58","143","146","","","","","","","","","","","","","","","5:58","","6:01.0","5:58","",""
"3","6:05.0","18:15.0","1.00","6:06","6:06","146","151","","","","","","","","","","","","","","","6:06","","6:05.0","6:06","",""
"4","6:14.0","24:29.0","1.01","6:11","6:11","149","152","","","","","","","","","","","","","","","6:11","","6:14.0","6:11","",""
"5","6:11.0","30:40.0","1.00","6:10","6:10","151","154","","","","","","","","","","","","","","","6:10","","6:11.0","6:10","",""
"6","6:07.0","36:47.0","0.99","6:08","6:08","153","156","","","","","","","","","","","","","","","6:08","","6:07.0","6:08","",""
"7","6:08.0","42:55.0","1.00","6:09","6:09","156","159","","","","","","","","","","","","","","","6:09","","6:08.0","6:09","",""
"8","6:02.0","48:57.0","0.99","6:04","6:04","157","159","","","","","","","","","","","","","","","6:04","","6:02.0","6:04","",""
"9","6:09.0","55:06.0","1.00","6:07","6:07","158","163","","","","","","","","","","","","","","","6:07","","6:09.0","6:07","",""
"10","4:43.0","59:49.0","0.76","6:13","6:13","157","159","","","","","","","","","","","","","","","6:13","","4:43.0","6:13","",""
"统计","60:06.0","60:06.0","10.02","5:59","5:59","150","163","","","","","","","","","","","","","550","","5:59","","60:06.0","5:59","--","--"
