"计圈","时间","累积时间","距离公里","平均配速分钟/千米","平均坡度调整配速分钟/千米","平均心率bpm","最大心率bpm","累计爬升米","累计下降米","平均功率瓦","平均 W/kg","最大功率瓦","最大 W/kg","平均步频每分钟步数","平均触地时间毫秒","平均 GCT 平衡%","平均步长米","平均垂直摆动cm","平均垂直步幅比%","热量消耗卡路里","平均温度","最佳配速分钟/千米","最高步频每分钟步数","移动时间","平均移动配速分钟/千米","平均步速损失厘米/秒","平均步速损失百分比%"
"1","6:19.0","6:19.0","1.01","6:16","6:16","116","128","","","","","","","","","","","","","","","6:16","","6:19.0","6:16","",""
"2","6:17.0","12:36.0","1.00","6:17","6:17","130","136","","","","","","","","","","","","","","","6:17","","6:17.0","6:17","",""
"3","6:27.0","19:03.0","1.01","6:24","6:24","138","143","","","","","","","","","","","","","","","6:24","","6:27.0","6:24","",""
"4","6:20.0","25:23.0","1.00","6:20","6:20","147","156","","","","","","","","","","","","","","","6:20","","6:20.0","6:20","",""
"5","6:07.0","31:30.0","0.99","6:08","6:08","159","167","","","","","","","","","","","","","","","6:08","","6:07.0","6:08","",""
"6","5:54.0","37:24.0","1.00","5:55","5:55","168","175","","","","","","","","","","","","","","","5:55","","5:54.0","5:55","",""
"7","5:48.0","43:12.0","1.01","5:45","5:45","178","183","","","","","","","","","","","","","","","5:45","","5:48.0","5:45","",""
"8","5:37.0","48:49.0","1.00","5:38","5:38","185","189","","","","","","","","","","","","","","","5:38","","5:37.0","5:38","",""
"9","4:57.0","53:46.0","0.89","5:32","5:32","191","196","","","","","","","","","","","","","","","5:32","","4:57.0","5:32","",""
"统计","54:05.0","54:05.0","10.02","5:23","5:23","155","196","","","","","","","","","","","","","587","","5:23","","54:05.0","5:23","--","--"
