"计圈","时间","累积时间","距离公里","平均配速分钟/千米","平均坡度调整配速分钟/千米","平均心率bpm","最大心率bpm","累计爬升米","累计下降米","平均功率瓦","平均 W/kg","最大功率瓦","最大 W/kg","平均步频每分钟步数","平均触地时间毫秒","平均 GCT 平衡%","平均步长米","平均垂直摆动cm","平均垂直步幅比%","热量消耗卡路里","平均温度","最佳配速分钟/千米","最高步频每分钟步数","移动时间","平均移动配速分钟/千米","平均步速损失厘米/秒","平均步速损失百分比%"
"1","6:07.0","6:07.0","1.00","6:06","6:06","125","129","8","19","","","","","","","","","","","","","6:06","","6:07.0","6:06","",""
"2","5:49.0","11:56.0","1.00","5:49","5:49","130","137","2","3","","","","","","","","","","","","","5:49","","5:49.0","5:49","",""
"3","5:44.0","17:40.0","1.00","5:44","5:44","130","135","","6","","","","","","","","","","","","","5:44","","5:44.0","5:44","",""
"4","5:55.0","23:35.0","1.00","5:55","5:55","132","137","4","5","","","","","","","","","","","","","5:55","","5:55.0","5:55","",""
"5","5:50.0","29:25.0","1.00","5:50","5:50","135","142","4","2","","","","","","","","","","","","","5:50","","5:50.0","5:50","",""
"6","5:50.0","35:15.0","1.00","5:49","5:49","135","142","1","2","","","","","","","","","","","","","5:49","","5:50.0","5:49","",""
"7","5:51.0","41:06.0","1.00","5:51","5:51","137","141","1","1","","","","","","","","","","","","","5:51","","5:51.0","5:51","",""
"8","5:50.0","46:56.0","1.00","5:49","5:49","137","142","2","2","","","","","","","","","","","","","5:49","","5:50.0","5:49","",""
"9","5:48.0","52:44.0","1.00","5:49","5:49","140","143","3","3","","","","","","","","","","","","","5:49","","5:48.0","5:49","",""
"10","5:48.0","58:32.0","1.00","5:48","5:48","139","143","1","3","","","","","","","","","","","","","5:48","","5:48.0","5:48","",""
"11","5:43.0","64:15.0","1.00","5:43","5:43","141","145","1","1","","","","","","","","","","","","","5:43","","5:43.0","5:43","",""
"12","5:45.0","70:00.0","1.00","5:45","5:45","141","145","2","2","","","","","","","","","","","","","5:45","","5:45.0","5:45","",""
"13","5:44.0","75:44.0","1.00","5:44","5:44","142","145","3","2","","","","","","","","","","","","","5:44","","5:44.0","5:44","",""
"14","5:39.0","81:23.0","1.00","5:40","5:40","145","149","2","1","","","","","","","","","","","","","5:40","","5:39.0","5:40","",""
"15","5:46.0","87:09.0","1.00","5:46","5:46","145","151","1","2","","","","","","","","","","","","","5:46","","5:46.0","5:46","",""
"16","5:52.0","93:01.0","1.00","5:52","5:52","145","151","5","1","","","","","","","","","","","","","5:52","","5:52.0","5:52","",""
"17","0:06.0","93:07.0","0.00","20:49","20:49","151","151","","1","","","","","","","","","","","","","20:49","","0:06.0","20:49","",""
"统计","93:23.0","93:23.0","16.03","5:49","5:49","137","151","24.6","","","","","","","","","","","","880","","5:49","","93:23.0","5:49","--","--"
