"计圈","时间","累积时间","距离公里","平均配速分钟/千米","平均坡度调整配速分钟/千米","平均心率bpm","最大心率bpm","累计爬升米","累计下降米","平均功率瓦","平均 W/kg","最大功率瓦","最大 W/kg","平均步频每分钟步数","平均触地时间毫秒","平均 GCT 平衡%","平均步长米","平均垂直摆动cm","平均垂直步幅比%","热量消耗卡路里","平均温度","最佳配速分钟/千米","最高步频每分钟步数","移动时间","平均移动配速分钟/千米","平均步速损失厘米/秒","平均步速损失百分比%"
"1","6:42.0","6:42.0","1.00","6:41","6:41","122","131","","","","","","","","","","","","","","","6:41","","6:42.0","6:41","",""
"2","6:35.0","13:17.0","1.00","6:36","6:36","137","142","","","","","","","","","","","","","","","6:36","","6:35.0","6:36","",""
"3","6:35.0","19:52.0","1.00","6:35","6:35","145","152","","","","","","","","","","","","","","","6:35","","6:35.0","6:35","",""
"4","6:21.0","26:13.0","1.00","6:20","6:20","155","163","","","","","","","","","","","","","","","6:20","","6:21.0","6:20","",""
"5","6:10.0","32:23.0","1.00","6:11","6:11","164","170","","","","","","","","","","","","","","","6:11","","6:10.0","6:11","",""
"6","6:07.0","38:30.0","1.00","6:07","6:07","172","177","","","","","","","","","","","","","","","6:07","","6:07.0","6:07","",""
"7","6:04.0","44:34.0","1.00","6:04","6:04","178","182","","","","","","","","","","","","","","","6:04","","6:04.0","6:04","",""
"8","6:02.0","50:36.0","1.00","6:02","6:02","182","186","","","","","","","","","","","","","","","6:02","","6:02.0","6:02","",""
"9","4:14.0","54:50.0","0.70","6:03","6:03","184","189","","","","","","","","","","","","","","","6:03","","4:14.0","6:03","",""
"统计","55:11.0","55:11.0","10.02","5:30","5:30","158","189","","","","","","","","","","","","","593","","5:30","","55:11.0","5:30","--","--"
