"计圈","时间","累积时间","距离公里","平均配速分钟/千米","平均坡度调整配速分钟/千米","平均心率bpm","最大心率bpm","累计爬升米","累计下降米","平均功率瓦","平均 W/kg","最大功率瓦","最大 W/kg","平均步频每分钟步数","平均触地时间毫秒","平均 GCT 平衡%","平均步长米","平均垂直摆动cm","平均垂直步幅比%","热量消耗卡路里","平均温度","最佳配速分钟/千米","最高步频每分钟步数","移动时间","平均移动配速分钟/千米","平均步速损失厘米/秒","平均步速损失百分比%"
"1","6:08.0","6:08.0","1.00","6:08","6:08","123","138","8","17","","","","","","","","","","","","","6:08","","6:08.0","6:08","",""
"2","5:59.0","12:07.0","1.00","5:59","5:59","137","145","6","8","","","","","","","","","","","","","5:59","","5:59.0","5:59","",""
"3","5:58.0","18:05.0","1.00","5:58","5:58","141","147","6","13","","","","","","","","","","","","","5:58","","5:58.0","5:58","",""
"4","6:09.0","24:14.0","1.00","6:09","6:09","142","147","7","9","","","","","","","","","","","","","6:09","","6:09.0","6:09","",""
"5","6:06.0","30:20.0","1.00","6:06","6:06","144","149","5","7","","","","","","","","","","","","","6:06","","6:06.0","6:06","",""
"6","5:59.0","36:19.0","1.00","5:59","5:59","148","153","4","6","","","","","","","","","","","","","5:59","","5:59.0","5:59","",""
"7","6:02.0","42:21.0","1.00","6:02","6:02","151","156","5","6","","","","","","","","","","","","","6:02","","6:02.0","6:02","",""
"8","5:55.0","48:16.0","1.00","5:55","5:55","152","156","6","7","","","","","","","","","","","","","5:55","","5:55.0","5:55","",""
"9","6:06.0","54:22.0","1.00","6:06","6:06","151","155","6","6","","","","","","","","","","","","","6:06","","6:06.0","6:06","",""
"10","6:11.0","60:33.0","1.00","6:11","6:11","148","152","4","6","","","","","","","","","","","","","6:11","","6:11.0","6:11","",""
"11","6:10.0","66:43.0","1.00","6:10","6:10","148","155","5","5","","","","","","","","","","","","","6:10","","6:10.0","6:10","",""
"12","6:10.0","72:53.0","1.00","6:10","6:10","148","152","6","6","","","","","","","","","","","","","6:10","","6:10.0","6:10","",""
"13","6:12.0","79:05.0","1.00","6:12","6:12","147","152","6","7","","","","","","","","","","","","","6:12","","6:12.0","6:12","",""
"14","6:05.0","85:10.0","1.00","6:05","6:05","149","154","5","3","","","","","","","","","","","","","6:05","","6:05.0","6:05","",""
"15","6:04.0","91:14.0","1.00","6:04","6:04","152","158","6","7","","","","","","","","","","","","","6:04","","6:04.0","6:04","",""
"16","6:14.0","97:28.0","0.99","6:19","6:19","150","157","9","4","","","","","","","","","","","","","6:19","","6:14.0","6:19","",""
"统计","97:43.0","97:43.0","16.01","6:06","6:06","146","158","21.0","","","","","","","","","","","","957","","6:06","","97:43.0","6:06","--","--"
