"计圈","时间","累积时间","距离公里","平均配速分钟/千米","平均坡度调整配速分钟/千米","平均心率bpm","最大心率bpm","累计爬升米","累计下降米","平均功率瓦","平均 W/kg","最大功率瓦","最大 W/kg","平均步频每分钟步数","平均触地时间毫秒","平均 GCT 平衡%","平均步长米","平均垂直摆动cm","平均垂直步幅比%","热量消耗卡路里","平均温度","最佳配速分钟/千米","最高步频每分钟步数","移动时间","平均移动配速分钟/千米","平均步速损失厘米/秒","平均步速损失百分比%"
"1","5:37.0","5:37.0","1.00","5:36","5:36","117","130","","","","","","","","","","","","","","","5:36","","5:37.0","5:36","",""
"2","5:00.0","10:37.0","1.00","5:00","5:00","146","161","","","","","","","","","","","","","","","5:00","","5:00.0","5:00","",""
"3","4:52.0","15:29.0","1.00","4:52","4:52","166","172","","","","","","","","","","","","","","","4:52","","4:52.0","4:52","",""
"4","4:50.0","20:19.0","1.00","4:50","4:50","173","179","","","","","","","","","","","","","","","4:50","","4:50.0","4:50","",""
"5","4:49.0","25:08.0","1.00","4:49","4:49","178","182","","","","","","","","","","","","","","","4:49","","4:49.0","4:49","",""
"6","4:53.0","30:01.0","1.00","4:53","4:53","183","186","","","","","","","","","","","","","","","4:53","","4:53.0","4:53","",""
"7","4:56.0","34:57.0","1.00","4:57","4:57","187","190","","","","","","","","","","","","","","","4:57","","4:56.0","4:57","",""
"8","4:52.0","39:49.0","1.00","4:52","4:52","189","194","","","","","","","","","","","","","","","4:52","","4:52.0","4:52","",""
"9","3:19.0","43:08.0","0.55","6:00","6:00","188","195","","","","","","","","","","","","","","","6:00","","3:19.0","6:00","",""
"统计","43:16.0","43:16.0","8.57","5:02","5:02","168","195","","","","","","","","","","","","","513","","5:02","","43:16.0","5:02","--","--"
