"计圈","时间","累积时间","距离公里","平均配速分钟/千米","平均坡度调整配速分钟/千米","平均心率bpm","最大心率bpm","累计爬升米","累计下降米","平均功率瓦","平均 W/kg","最大功率瓦","最大 W/kg","平均步频每分钟步数","平均触地时间毫秒","平均 GCT 平衡%","平均步长米","平均垂直摆动cm","平均垂直步幅比%","热量消耗卡路里","平均温度","最佳配速分钟/千米","最高步频每分钟步数","移动时间","平均移动配速分钟/千米","平均步速损失厘米/秒","平均步速损失百分比%"
"1","6:41.0","6:41.0","1.00","6:40","6:40","126","138","","","","","","","","","","","","","","","6:40","","6:41.0","6:40","",""
"2","6:21.0","13:02.0","1.00","6:20","6:20","140","147","","","","","","","","","","","","","","","6:20","","6:21.0","6:20","",""
"3","6:17.0","19:19.0","1.01","6:14","6:14","146","149","","","","","","","","","","","","","","","6:14","","6:17.0","6:14","",""
"4","6:05.0","25:24.0","0.99","6:06","6:06","151","157","","","","","","","","","","","","","","","6:06","","6:05.0","6:06","",""
"5","6:00.0","31:24.0","1.00","6:01","6:01","158","164","","","","","","","","","","","","","","","6:01","","6:00.0","6:01","",""
"6","5:59.0","37:23.0","1.00","5:58","5:58","164","167","","","","","","","","","","","","","","","5:58","","5:59.0","5:58","",""
"7","6:05.0","43:28.0","0.99","6:07","6:07","169","175","","","","","","","","","","","","","","","6:07","","6:05.0","6:07","",""
"8","6:03.0","49:31.0","1.01","6:00","6:00","175","179","","","","","","","","","","","","","","","6:00","","6:03.0","6:00","",""
"9","5:47.0","55:18.0","1.00","5:46","5:46","184","192","","","","","","","","","","","","","","","5:46","","5:47.0","5:46","",""
"10","4:27.0","59:45.0","0.48","9:17","9:17","175","193","","","","","","","","","","","","","","","9:17","","4:27.0","9:17","",""
"统计","59:59.0","59:59.0","10.20","5:52","5:52","158","193","","","","","","","","","","","","","626","","5:52","","59:59.0","5:52","--","--"
