"计圈","时间","累积时间","距离公里","平均配速分钟/千米","平均坡度调整配速分钟/千米","平均心率bpm","最大心率bpm","累计爬升米","累计下降米","平均功率瓦","平均 W/kg","最大功率瓦","最大 W/kg","平均步频每分钟步数","平均触地时间毫秒","平均 GCT 平衡%","平均步长米","平均垂直摆动cm","平均垂直步幅比%","热量消耗卡路里","平均温度","最佳配速分钟/千米","最高步频每分钟步数","移动时间","平均移动配速分钟/千米","平均步速损失厘米/秒","平均步速损失百分比%"
"1","4:12.0","4:12.0","1.00","4:11","4:11","89","101","2","18","","","","","","","","","","","","","4:11","","4:12.0","4:11","",""
"2","3:52.0","8:04.0","1.00","3:52","3:52","98","110","2","3","","","","","","","","","","","","","3:52","","3:52.0","3:52","",""
"3","5:40.0","13:44.0","1.00","5:40","5:40","98","104","2","2","","","","","","","","","","","","","5:40","","5:40.0","5:40","",""
"4","3:51.0","17:35.0","1.00","3:51","3:51","101","111","2","4","","","","","","","","","","","","","3:51","","3:51.0","3:51","",""
"5","3:47.0","21:22.0","1.00","3:47","3:47","104","108","3","2","","","","","","","","","","","","","3:47","","3:47.0","3:47","",""
"6","5:19.0","26:41.0","1.00","5:19","5:19","102","114","2","3","","","","","","","","","","","","","5:19","","5:19.0","5:19","",""
"7","4:09.0","30:50.0","1.00","4:09","4:09","101","110","2","2","","","","","","","","","","","","","4:09","","4:09.0","4:09","",""
"8","3:57.0","34:47.0","0.47","8:24","8:24","99","110","2","3","","","","","","","","","","","","","8:24","","3:57.0","8:24","",""
"统计","34:54.0","34:54.0","7.50","4:39","4:39","99","114","7.0","","","","","","","","","","","","103","","4:39","","34:54.0","4:39","--","--"
