"计圈","时间","累积时间","距离公里","平均配速分钟/千米","平均坡度调整配速分钟/千米","平均心率bpm","最大心率bpm","累计爬升米","累计下降米","平均功率瓦","平均 W/kg","最大功率瓦","最大 W/kg","平均步频每分钟步数","平均触地时间毫秒","平均 GCT 平衡%","平均步长米","平均垂直摆动cm","平均垂直步幅比%","热量消耗卡路里","平均温度","最佳配速分钟/千米","最高步频每分钟步数","移动时间","平均移动配速分钟/千米","平均步速损失厘米/秒","平均步速损失百分比%"
"1","6:37.0","6:37.0","1.00","6:35","6:35","131","139","","","","","","","","","","","","","","","6:35","","6:37.0","6:35","",""
"2","6:20.0","12:57.0","1.00","6:21","6:21","141","147","","","","","","","","","","","","","","","6:21","","6:20.0","6:21","",""
"3","6:25.0","19:22.0","1.00","6:24","6:24","146","150","","","","","","","","","","","","","","","6:24","","6:25.0","6:24","",""
"4","6:22.0","25:44.0","1.00","6:20","6:20","155","161","","","","","","","","","","","","","","","6:20","","6:22.0","6:20","",""
"5","6:08.0","31:52.0","0.99","6:09","6:09","164","169","","","","","","","","","","","","","","","6:09","","6:08.0","6:09","",""
"6","6:04.0","37:56.0","0.96","6:20","6:20","171","177","","","","","","","","","","","","","","","6:20","","6:04.0","6:20","",""
"统计","38:06.0","38:06.0","6.56","5:48","5:48","151","177","","","","","","","","","","","","","400","","5:48","","38:06.0","5:48","--","--"
