"计圈","时间","累积时间","距离公里","平均配速分钟/千米","平均坡度调整配速分钟/千米","平均心率bpm","最大心率bpm","累计爬升米","累计下降米","平均功率瓦","平均 W/kg","最大功率瓦","最大 W/kg","平均步频每分钟步数","平均触地时间毫秒","平均 GCT 平衡%","平均步长米","平均垂直摆动cm","平均垂直步幅比%","热量消耗卡路里","平均温度","最佳配速分钟/千米","最高步频每分钟步数","移动时间","平均移动配速分钟/千米","平均步速损失厘米/秒","平均步速损失百分比%"
"1","4:24.0","4:24.0","1.00","4:23","4:23","172","191","7","7","","","","","","","","","","","","","4:23","","4:24.0","4:23","",""
"2","4:31.0","8:55.0","1.00","4:31","4:31","180","184","5","3","","","","","","","","","","","","","4:31","","4:31.0","4:31","",""
"3","4:33.0","13:28.0","1.00","4:33","4:33","183","187","5","6","","","","","","","","","","","","","4:33","","4:33.0","4:33","",""
"4","4:37.0","18:05.0","1.00","4:37","4:37","184","192","6","8","","","","","","","","","","","","","4:37","","4:37.0","4:37","",""
"5","4:37.0","22:42.0","1.00","4:37","4:37","181","187","5","5","","","","","","","","","","","","","4:37","","4:37.0","4:37","",""
"6","4:48.0","27:30.0","1.00","4:48","4:48","185","190","8","8","","","","","","","","","","","","","4:48","","4:48.0","4:48","",""
"7","4:40.0","32:10.0","1.00","4:40","4:40","182","185","6","5","","","","","","","","","","","","","4:40","","4:40.0","4:40","",""
"8","4:41.0","36:51.0","1.00","4:41","4:41","182","187","6","6","","","","","","","","","","","","","4:41","","4:41.0","4:41","",""
"9","4:37.0","41:28.0","1.00","4:36","4:36","182","187","4","5","","","","","","","","","","","","","4:36","","4:37.0","4:36","",""
"10","4:30.0","45:58.0","0.99","4:32","4:32","182","189","5","4","","","","","","","","","","","","","4:32","","4:30.0","4:32","",""
"统计","46:07.0","46:07.0","10.01","4:36","4:36","181","192","20.0","","","","","","","","","","","","593","","4:36","","46:07.0","4:36","--","--"
