"计圈","时间","累积时间","距离公里","平均配速分钟/千米","平均坡度调整配速分钟/千米","平均心率bpm","最大心率bpm","累计爬升米","累计下降米","平均功率瓦","平均 W/kg","最大功率瓦","最大 W/kg","平均步频每分钟步数","平均触地时间毫秒","平均 GCT 平衡%","平均步长米","平均垂直摆动cm","平均垂直步幅比%","热量消耗卡路里","平均温度","最佳配速分钟/千米","最高步频每分钟步数","移动时间","平均移动配速分钟/千米","平均步速损失厘米/秒","平均步速损失百分比%"
"1","6:08.0","6:08.0","1.00","6:07","6:07","127","139","6","4","","","","","","","","","","","","","6:07","","6:08.0","6:07","",""
"2","5:50.0","11:58.0","1.00","5:50","5:50","141","147","3","3","","","","","","","","","","","","","5:50","","5:50.0","5:50","",""
"3","5:47.0","17:45.0","1.00","5:48","5:48","145","149","4","4","","","","","","","","","","","","","5:48","","5:47.0","5:48","",""
"4","5:44.0","23:29.0","1.00","5:44","5:44","149","152","5","5","","","","","","","","","","","","","5:44","","5:44.0","5:44","",""
"5","5:42.0","29:11.0","1.00","5:41","5:41","150","155","5","6","","","","","","","","","","","","","5:41","","5:42.0","5:41","",""
"6","5:47.0","34:58.0","1.00","5:47","5:47","151","155","6","5","","","","","","","","","","","","","5:47","","5:47.0","5:47","",""
"7","5:41.0","40:39.0","1.00","5:41","5:41","155","158","7","6","","","","","","","","","","","","","5:41","","5:41.0","5:41","",""
"8","5:41.0","46:20.0","1.00","5:41","5:41","158","161","8","9","","","","","","","","","","","","","5:41","","5:41.0","5:41","",""
"9","5:42.0","52:02.0","1.00","5:41","5:41","157","160","7","8","","","","","","","","","","","","","5:41","","5:42.0","5:41","",""
"10","5:32.0","57:34.0","1.00","5:32","5:32","162","166","7","6","","","","","","","","","","","","","5:32","","5:32.0","5:32","",""
"11","0:59.0","58:33.0","0.18","5:19","5:19","165","172","2","2","","","","","","","","","","","","","5:19","","0:59.0","5:19","",""
"统计","58:43.0","58:43.0","10.20","5:45","5:45","149","172","8.0","","","","","","","","","","","","617","","5:45","","58:43.0","5:45","--","--"
