"计圈","时间","累积时间","距离公里","平均配速分钟/千米","平均坡度调整配速分钟/千米","平均心率bpm","最大心率bpm","累计爬升米","累计下降米","平均功率瓦","平均 W/kg","最大功率瓦","最大 W/kg","平均步频每分钟步数","平均触地时间毫秒","平均 GCT 平衡%","平均步长米","平均垂直摆动cm","平均垂直步幅比%","热量消耗卡路里","平均温度","最佳配速分钟/千米","最高步频每分钟步数","移动时间","平均移动配速分钟/千米","平均步速损失厘米/秒","平均步速损失百分比%"
"1","4:01.0","4:01.0","1.00","4:00","4:00","167","181","4","4","","","","","","","","","","","","","4:00","","4:01.0","4:00","",""
"2","4:16.0","8:17.0","1.00","4:16","4:16","184","190","5","5","","","","","","","","","","","","","4:16","","4:16.0","4:16","",""
"3","5:45.0","14:02.0","1.00","5:45","5:45","177","188","7","8","","","","","","","","","","","","","5:45","","5:45.0","5:45","",""
"4","0:53.0","14:55.0","0.21","4:12","4:12","180","190","1","1","","","","","","","","","","","","","4:12","","0:53.0","4:12","",""
"统计","14:58.0","14:58.0","3.22","4:38","4:38","176","190","","","","","","","","","","","","","189","","4:38","","14:58.0","4:38","--","--"
