"计圈","时间","累积时间","距离公里","平均配速分钟/千米","平均坡度调整配速分钟/千米","平均心率bpm","最大心率bpm","累计爬升米","累计下降米","平均功率瓦","平均 W/kg","最大功率瓦","最大 W/kg","平均步频每分钟步数","平均触地时间毫秒","平均 GCT 平衡%","平均步长米","平均垂直摆动cm","平均垂直步幅比%","热量消耗卡路里","平均温度","最佳配速分钟/千米","最高步频每分钟步数","移动时间","平均移动配速分钟/千米","平均步速损失厘米/秒","平均步速损失百分比%"
"1","4:42.0","4:42.0","1.00","4:41","4:41","148","165","5","5","","","","","","","","","","","","","4:41","","4:42.0","4:41","",""
"2","4:39.0","9:21.0","1.00","4:39","4:39","169","173","5","4","","","","","","","","","","","","","4:39","","4:39.0","4:39","",""
"3","4:40.0","14:01.0","1.00","4:40","4:40","173","177","5","5","","","","","","","","","","","","","4:40","","4:40.0","4:40","",""
"4","4:36.0","18:37.0","1.00","4:36","4:36","177","180","6","6","","","","","","","","","","","","","4:36","","4:36.0","4:36","",""
"5","4:39.0","23:16.0","1.00","4:39","4:39","179","182","3","4","","","","","","","","","","","","","4:39","","4:39.0","4:39","",""
"6","4:43.0","27:59.0","1.00","4:43","4:43","181","185","6","6","","","","","","","","","","","","","4:43","","4:43.0","4:43","",""
"7","4:43.0","32:42.0","1.00","4:43","4:43","182","189","4","3","","","","","","","","","","","","","4:43","","4:43.0","4:43","",""
"8","4:42.0","37:24.0","1.00","4:42","4:42","185","189","6","6","","","","","","","","","","","","","4:42","","4:42.0","4:42","",""
"9","4:50.0","42:14.0","1.00","4:50","4:50","187","193","5","5","","","","","","","","","","","","","4:50","","4:50.0","4:50","",""
"10","4:46.0","47:00.0","0.99","4:50","4:50","184","187","4","4","","","","","","","","","","","","","4:50","","4:46.0","4:50","",""
"统计","47:09.0","47:09.0","10.01","4:42","4:42","177","193","10.0","","","","","","","","","","","","601","","4:42","","47:09.0","4:42","--","--"
