"计圈","时间","累积时间","距离公里","平均配速分钟/千米","平均坡度调整配速分钟/千米","平均心率bpm","最大心率bpm","累计爬升米","累计下降米","平均功率瓦","平均 W/kg","最大功率瓦","最大 W/kg","平均步频每分钟步数","平均触地时间毫秒","平均 GCT 平衡%","平均步长米","平均垂直摆动cm","平均垂直步幅比%","热量消耗卡路里","平均温度","最佳配速分钟/千米","最高步频每分钟步数","移动时间","平均移动配速分钟/千米","平均步速损失厘米/秒","平均步速损失百分比%"
"1","5:52.0","5:52.0","1.00","5:51","5:51","137","148","9","9","","","","","","","","","","","","","5:51","","5:52.0","5:51","",""
"2","5:51.0","11:43.0","1.00","5:51","5:51","148","152","9","8","","","","","","","","","","","","","5:51","","5:51.0","5:51","",""
"3","5:43.0","17:26.0","1.00","5:43","5:43","152","156","8","7","","","","","","","","","","","","","5:43","","5:43.0","5:43","",""
"4","5:42.0","23:08.0","1.00","5:42","5:42","155","158","8","7","","","","","","","","","","","","","5:42","","5:42.0","5:42","",""
"5","5:35.0","28:43.0","1.00","5:35","5:35","157","161","4","5","","","","","","","","","","","","","5:35","","5:35.0","5:35","",""
"6","5:31.0","34:14.0","1.00","5:31","5:31","158","161","4","4","","","","","","","","","","","","","5:31","","5:31.0","5:31","",""
"7","5:22.0","39:36.0","1.00","5:23","5:23","161","165","4","4","","","","","","","","","","","","","5:23","","5:22.0","5:23","",""
"8","5:03.0","44:39.0","1.00","5:03","5:03","167","169","3","4","","","","","","","","","","","","","5:03","","5:03.0","5:03","",""
"9","4:46.0","49:25.0","1.00","4:46","4:46","171","175","5","6","","","","","","","","","","","","","4:46","","4:46.0","4:46","",""
"10","4:38.0","54:03.0","1.00","4:38","4:38","178","180","9","8","","","","","","","","","","","","","4:38","","4:38.0","4:38","",""
"11","0:37.0","54:40.0","0.15","4:13","4:13","178","180","1","","","","","","","","","","","","","","4:13","","0:37.0","4:13","",""
"统计","54:50.0","54:50.0","10.17","5:23","5:23","158","180","11.0","","","","","","","","","","","","609","","5:23","","54:50.0","5:23","--","--"
