"计圈","时间","累积时间","距离公里","平均配速分钟/千米","平均坡度调整配速分钟/千米","平均心率bpm","最大心率bpm","累计爬升米","累计下降米","平均功率瓦","平均 W/kg","最大功率瓦","最大 W/kg","平均步频每分钟步数","平均触地时间毫秒","平均 GCT 平衡%","平均步长米","平均垂直摆动cm","平均垂直步幅比%","热量消耗卡路里","平均温度","最佳配速分钟/千米","最高步频每分钟步数","移动时间","平均移动配速分钟/千米","平均步速损失厘米/秒","平均步速损失百分比%"
"1","4:40.0","4:40.0","1.00","4:39","4:39","95","114","2","5","","","","","","","","","","","","","4:39","","4:40.0","4:39","",""
"2","2:51.0","7:31.0","1.00","2:51","2:51","112","117","1","2","","","","","","","","","","","","","2:51","","2:51.0","2:51","",""
"3","3:04.0","10:35.0","1.00","3:04","3:04","111","117","2","2","","","","","","","","","","","","","3:04","","3:04.0","3:04","",""
"4","2:54.0","13:29.0","1.00","2:54","2:54","120","128","2","3","","","","","","","","","","","","","2:54","","2:54.0","2:54","",""
"5","3:55.0","17:24.0","1.00","3:55","3:55","114","130","2","2","","","","","","","","","","","","","3:55","","3:55.0","3:55","",""
"6","3:52.0","21:16.0","1.00","3:52","3:52","106","115","1","2","","","","","","","","","","","","","3:52","","3:52.0","3:52","",""
"7","4:10.0","25:26.0","0.83","5:02","5:02","108","121","6","5","","","","","","","","","","","","","5:02","","4:10.0","5:02","",""
"统计","25:32.0","25:32.0","6.85","3:43","3:43","109","130","8.2","","","","","","","","","","","","109","","3:43","","25:32.0","3:43","--","--"
