"计圈","时间","累积时间","距离公里","平均配速分钟/千米","平均坡度调整配速分钟/千米","平均心率bpm","最大心率bpm","累计爬升米","累计下降米","平均功率瓦","平均 W/kg","最大功率瓦","最大 W/kg","平均步频每分钟步数","平均触地时间毫秒","平均 GCT 平衡%","平均步长米","平均垂直摆动cm","平均垂直步幅比%","热量消耗卡路里","平均温度","最佳配速分钟/千米","最高步频每分钟步数","移动时间","平均移动配速分钟/千米","平均步速损失厘米/秒","平均步速损失百分比%"
"1","6:53.0","6:53.0","1.00","6:52","6:52","123","133","","","","","","","","","","","","","","","6:52","","6:53.0","6:52","",""
"2","7:06.0","13:59.0","1.00","7:06","7:06","129","146","","","","","","","","","","","","","","","7:06","","7:06.0","7:06","",""
"3","5:34.0","19:33.0","1.00","5:35","5:35","163","172","","","","","","","","","","","","","","","5:35","","5:34.0","5:35","",""
"4","5:24.0","24:57.0","0.99","5:25","5:25","175","179","","","","","","","","","","","","","","","5:25","","5:24.0","5:25","",""
"5","6:02.0","30:59.0","0.99","6:04","6:04","179","184","","","","","","","","","","","","","","","6:04","","6:02.0","6:04","",""
"6","6:35.0","37:34.0","1.00","6:35","6:35","160","184","","","","","","","","","","","","","","","6:35","","6:35.0","6:35","",""
"7","5:35.0","43:09.0","1.00","5:33","5:33","186","190","","","","","","","","","","","","","","","5:33","","5:35.0","5:33","",""
"8","2:37.0","45:46.0","0.23","11:36","11:36","156","186","","","","","","","","","","","","","","","11:36","","2:37.0","11:36","",""
"统计","46:03.0","46:03.0","8.41","5:28","5:28","157","190","","","","","","","","","","","","","482","","5:28","","46:03.0","5:28","--","--"
