"计圈","时间","累积时间","距离公里","平均配速分钟/千米","平均坡度调整配速分钟/千米","平均心率bpm","最大心率bpm","累计爬升米","累计下降米","平均功率瓦","平均 W/kg","最大功率瓦","最大 W/kg","平均步频每分钟步数","平均触地时间毫秒","平均 GCT 平衡%","平均步长米","平均垂直摆动cm","平均垂直步幅比%","热量消耗卡路里","平均温度","最佳配速分钟/千米","最高步频每分钟步数","移动时间","平均移动配速分钟/千米","平均步速损失厘米/秒","平均步速损失百分比%"
"1","14:21.0","14:21.0","1.00","14:20","14:20","80","102","","","","","","","","","","","","","","","14:20","","14:21.0","14:20","",""
"2","2:35.0","16:56.0","0.14","18:24","18:24","75","92","17","","","","","","","","","","","","","","18:24","","2:35.0","18:24","",""
"统计","16:57.0","16:57.0","1.17","14:30","14:30","80","102","17.2","","","","","","","","","","","","41","","14:30","","16:57.0","14:30","--","--"
