"计圈","时间","累积时间","距离公里","平均配速分钟/千米","平均坡度调整配速分钟/千米","平均心率bpm","最大心率bpm","累计爬升米","累计下降米","平均功率瓦","平均 W/kg","最大功率瓦","最大 W/kg","平均步频每分钟步数","平均触地时间毫秒","平均 GCT 平衡%","平均步长米","平均垂直摆动cm","平均垂直步幅比%","热量消耗卡路里","平均温度","最佳配速分钟/千米","最高步频每分钟步数","移动时间","平均移动配速分钟/千米","平均步速损失厘米/秒","平均步速损失百分比%"
"1","4:26.0","4:26.0","1.00","4:25","4:25","164","179","9","8","","","","","","","","","","","","","4:25","","4:26.0","4:25","",""
"2","4:30.0","8:56.0","1.00","4:30","4:30","179","183","5","6","","","","","","","","","","","","","4:30","","4:30.0","4:30","",""
"3","4:27.0","13:23.0","0.99","4:28","4:28","182","188","7","8","","","","","","","","","","","","","4:28","","4:27.0","4:28","",""
"4","4:31.0","17:54.0","1.00","4:30","4:30","184","191","7","7","","","","","","","","","","","","","4:30","","4:31.0","4:30","",""
"5","4:32.0","22:26.0","1.00","4:32","4:32","182","187","6","5","","","","","","","","","","","","","4:32","","4:32.0","4:32","",""
"6","4:33.0","26:59.0","1.00","4:32","4:32","184","187","9","10","","","","","","","","","","","","","4:32","","4:33.0","4:32","",""
"7","4:35.0","31:34.0","1.00","4:35","4:35","184","189","7","6","","","","","","","","","","","","","4:35","","4:35.0","4:35","",""
"8","4:32.0","36:06.0","1.00","4:31","4:31","185","188","5","6","","","","","","","","","","","","","4:31","","4:32.0","4:31","",""
"9","4:42.0","40:48.0","1.00","4:41","4:41","185","190","9","7","","","","","","","","","","","","","4:41","","4:42.0","4:41","",""
"10","4:05.0","44:53.0","0.97","4:13","4:13","187","192","5","5","","","","","","","","","","","","","4:13","","4:05.0","4:13","",""
"统计","45:02.0","45:02.0","10.00","4:30","4:30","182","192","20.0","","","","","","","","","","","","587","","4:30","","45:02.0","4:30","--","--"
