"计圈","时间","累积时间","距离公里","平均配速分钟/千米","平均坡度调整配速分钟/千米","平均心率bpm","最大心率bpm","累计爬升米","累计下降米","平均功率瓦","平均 W/kg","最大功率瓦","最大 W/kg","平均步频每分钟步数","平均触地时间毫秒","平均 GCT 平衡%","平均步长米","平均垂直摆动cm","平均垂直步幅比%","热量消耗卡路里","平均温度","最佳配速分钟/千米","最高步频每分钟步数","移动时间","平均移动配速分钟/千米","平均步速损失厘米/秒","平均步速损失百分比%"
"1","6:20.0","6:20.0","1.00","6:19","6:19","138","157","7","11","","","","","","","","","","","","","6:19","","6:20.0","6:19","",""
"2","7:29.0","13:49.0","1.00","7:29","7:29","129","138","4","16","","","","","","","","","","","","","7:29","","7:29.0","7:29","",""
"3","5:53.0","19:42.0","1.00","5:53","5:53","139","149","4","7","","","","","","","","","","","","","5:53","","5:53.0","5:53","",""
"4","5:44.0","25:26.0","1.00","5:44","5:44","146","152","4","5","","","","","","","","","","","","","5:44","","5:44.0","5:44","",""
"5","5:46.0","31:12.0","1.00","5:46","5:46","147","152","4","4","","","","","","","","","","","","","5:46","","5:46.0","5:46","",""
"6","5:52.0","37:04.0","1.00","5:52","5:52","146","152","6","5","","","","","","","","","","","","","5:52","","5:52.0","5:52","",""
"7","5:38.0","42:42.0","1.00","5:37","5:37","149","155","7","7","","","","","","","","","","","","","5:37","","5:38.0","5:37","",""
"8","5:42.0","48:24.0","1.00","5:42","5:42","150","157","7","6","","","","","","","","","","","","","5:42","","5:42.0","5:42","",""
"9","6:04.0","54:28.0","1.00","6:04","6:04","152","156","7","8","","","","","","","","","","","","","6:04","","6:04.0","6:04","",""
"10","5:53.0","60:21.0","1.00","5:53","5:53","153","158","7","6","","","","","","","","","","","","","5:53","","5:53.0","5:53","",""
"11","6:52.0","67:13.0","1.00","6:52","6:52","145","156","4","7","","","","","","","","","","","","","6:52","","6:52.0","6:52","",""
"12","5:47.0","73:00.0","0.93","6:13","6:13","146","153","12","2","","","","","","","","","","","","","6:13","","5:47.0","6:13","",""
"统计","73:11.0","73:11.0","11.95","6:07","6:07","145","158","28.0","","","","","","","","","","","","722","","6:07","","73:11.0","6:07","--","--"
