"计圈","时间","累积时间","距离公里","平均配速分钟/千米","平均坡度调整配速分钟/千米","平均心率bpm","最大心率bpm","累计爬升米","累计下降米","平均功率瓦","平均 W/kg","最大功率瓦","最大 W/kg","平均步频每分钟步数","平均触地时间毫秒","平均 GCT 平衡%","平均步长米","平均垂直摆动cm","平均垂直步幅比%","热量消耗卡路里","平均温度","最佳配速分钟/千米","最高步频每分钟步数","移动时间","平均移动配速分钟/千米","平均步速损失厘米/秒","平均步速损失百分比%"
"1","6:36.0","6:36.0","1.00","6:34","6:34","128","143","","","","","","","","","","","","","","","6:34","","6:36.0","6:34","",""
"2","6:32.0","13:08.0","1.00","6:33","6:33","145","150","","","","","","","","","","","","","","","6:33","","6:32.0","6:33","",""
"3","6:37.0","19:45.0","1.01","6:34","6:34","149","152","","","","","","","","","","","","","","","6:34","","6:37.0","6:34","",""
"4","6:40.0","26:25.0","1.00","6:38","6:38","151","157","","","","","","","","","","","","","","","6:38","","6:40.0","6:38","",""
"5","6:29.0","32:54.0","1.00","6:28","6:28","160","170","","","","","","","","","","","","","","","6:28","","6:29.0","6:28","",""
"6","6:26.0","39:20.0","1.01","6:23","6:23","172","176","","","","","","","","","","","","","","","6:23","","6:26.0","6:23","",""
"7","6:08.0","45:28.0","1.00","6:08","6:08","179","186","","","","","","","","","","","","","","","6:08","","6:08.0","6:08","",""
"8","6:00.0","51:28.0","1.00","6:01","6:01","185","190","","","","","","","","","","","","","","","6:01","","6:00.0","6:01","",""
"9","3:26.0","54:54.0","0.57","5:59","5:59","189","192","","","","","","","","","","","","","","","5:59","","3:26.0","5:59","",""
"统计","55:08.0","55:08.0","10.01","5:30","5:30","160","192","","","","","","","","","","","","","601","","5:30","","55:08.0","5:30","--","--"
