"计圈","时间","累积时间","距离公里","平均配速分钟/千米","平均坡度调整配速分钟/千米","平均心率bpm","最大心率bpm","累计爬升米","累计下降米","平均功率瓦","平均 W/kg","最大功率瓦","最大 W/kg","平均步频每分钟步数","平均触地时间毫秒","平均 GCT 平衡%","平均步长米","平均垂直摆动cm","平均垂直步幅比%","热量消耗卡路里","平均温度","最佳配速分钟/千米","最高步频每分钟步数","移动时间","平均移动配速分钟/千米","平均步速损失厘米/秒","平均步速损失百分比%"
"1","5:16.0","5:16.0","1.00","5:15","5:15","125","135","","","","","","","","","","","","","","","5:15","","5:16.0","5:15","",""
"2","5:50.0","11:06.0","1.00","5:51","5:51","142","149","","","","","","","","","","","","","","","5:51","","5:50.0","5:51","",""
"3","5:06.0","16:12.0","1.00","5:06","5:06","149","155","","","","","","","","","","","","","","","5:06","","5:06.0","5:06","",""
"4","5:27.0","21:39.0","1.00","5:27","5:27","159","168","","","","","","","","","","","","","","","5:27","","5:27.0","5:27","",""
"5","4:33.0","26:12.0","1.00","4:33","4:33","174","182","","","","","","","","","","","","","","","4:33","","4:33.0","4:33","",""
"6","1:04.0","27:16.0","0.23","4:39","4:39","181","182","","","","","","","","","","","","","","","4:39","","1:04.0","4:39","",""
"统计","27:21.0","27:21.0","5.24","5:13","5:13","150","182","","","","","","","","","","","","","282","","5:13","","27:21.0","5:13","--","--"
