"计圈","时间","累积时间","距离公里","平均配速分钟/千米","平均坡度调整配速分钟/千米","平均心率bpm","最大心率bpm","累计爬升米","累计下降米","平均功率瓦","平均 W/kg","最大功率瓦","最大 W/kg","平均步频每分钟步数","平均触地时间毫秒","平均 GCT 平衡%","平均步长米","平均垂直摆动cm","平均垂直步幅比%","热量消耗卡路里","平均温度","最佳配速分钟/千米","最高步频每分钟步数","移动时间","平均移动配速分钟/千米","平均步速损失厘米/秒","平均步速损失百分比%"
"1","6:29.0","6:29.0","1.00","6:28","6:28","122","133","7","11","","","","","","","","","","","","","6:28","","6:29.0","6:28","",""
"2","6:22.0","12:51.0","1.00","6:22","6:22","133","140","4","8","","","","","","","","","","","","","6:22","","6:22.0","6:22","",""
"3","6:10.0","19:01.0","1.00","6:10","6:10","139","145","5","5","","","","","","","","","","","","","6:10","","6:10.0","6:10","",""
"4","6:20.0","25:21.0","1.00","6:19","6:19","139","142","2","1","","","","","","","","","","","","","6:19","","6:20.0","6:19","",""
"5","6:56.0","32:17.0","1.00","6:57","6:57","138","146","4","6","","","","","","","","","","","","","6:57","","6:56.0","6:57","",""
"6","6:17.0","38:34.0","1.00","6:17","6:17","142","147","1","3","","","","","","","","","","","","","6:17","","6:17.0","6:17","",""
"7","6:19.0","44:53.0","1.00","6:19","6:19","142","146","1","1","","","","","","","","","","","","","6:19","","6:19.0","6:19","",""
"8","6:18.0","51:11.0","1.00","6:17","6:17","142","148","1","1","","","","","","","","","","","","","6:17","","6:18.0","6:17","",""
"9","6:14.0","57:25.0","1.00","6:13","6:13","145","150","3","3","","","","","","","","","","","","","6:13","","6:14.0","6:13","",""
"10","6:14.0","63:39.0","1.00","6:13","6:13","147","152","2","1","","","","","","","","","","","","","6:13","","6:14.0","6:13","",""
"11","6:18.0","69:57.0","1.00","6:18","6:18","145","150","2","3","","","","","","","","","","","","","6:18","","6:18.0","6:18","",""
"12","6:15.0","76:12.0","1.00","6:15","6:15","148","152","2","1","","","","","","","","","","","","","6:15","","6:15.0","6:15","",""
"13","6:16.0","82:28.0","1.00","6:16","6:16","152","156","2","1","","","","","","","","","","","","","6:16","","6:16.0","6:16","",""
"14","7:34.0","90:02.0","1.00","7:34","7:34","147","156","10","10","","","","","","","","","","","","","7:34","","7:34.0","7:34","",""
"15","6:12.0","96:14.0","1.00","6:12","6:12","153","157","2","1","","","","","","","","","","","","","6:12","","6:12.0","6:12","",""
"16","6:06.0","102:20.0","1.00","6:06","6:06","156","161","2","3","","","","","","","","","","","","","6:06","","6:06.0","6:06","",""
"17","5:28.0","107:48.0","0.89","6:07","6:07","158","162","5","4","","","","","","","","","","","","","6:07","","5:28.0","6:07","",""
"统计","108:04.0","108:04.0","16.88","6:24","6:24","144","162","42.6","","","","","","","","","","","","999","","6:24","","108:04.0","6:24","--","--"
