"计圈","时间","累积时间","距离公里","平均配速分钟/千米","平均坡度调整配速分钟/千米","平均心率bpm","最大心率bpm","累计爬升米","累计下降米","平均功率瓦","平均 W/kg","最大功率瓦","最大 W/kg","平均步频每分钟步数","平均触地时间毫秒","平均 GCT 平衡%","平均步长米","平均垂直摆动cm","平均垂直步幅比%","热量消耗卡路里","平均温度","最佳配速分钟/千米","最高步频每分钟步数","移动时间","平均移动配速分钟/千米","平均步速损失厘米/秒","平均步速损失百分比%"
"1","5:46.0","5:46.0","1.00","5:45","5:45","124","138","","","","","","","","","","","","","","","5:45","","5:46.0","5:45","",""
"2","5:48.0","11:34.0","1.00","5:48","5:48","137","143","","","","","","","","","","","","","","","5:48","","5:48.0","5:48","",""
"3","5:54.0","17:28.0","1.00","5:54","5:54","140","146","","","","","","","","","","","","","","","5:54","","5:54.0","5:54","",""
"4","1:40.0","19:08.0","0.34","4:55","4:55","153","165","","","","","","","","","","","","","","","4:55","","1:40.0","4:55","",""
"统计","19:11.0","19:11.0","3.34","5:44","5:44","136","165","","","","","","","","","","","","","167","","5:44","","19:11.0","5:44","--","--"
