"计圈","时间","累积时间","距离公里","平均配速分钟/千米","平均坡度调整配速分钟/千米","平均心率bpm","最大心率bpm","累计爬升米","累计下降米","平均功率瓦","平均 W/kg","最大功率瓦","最大 W/kg","平均步频每分钟步数","平均触地时间毫秒","平均 GCT 平衡%","平均步长米","平均垂直摆动cm","平均垂直步幅比%","热量消耗卡路里","平均温度","最佳配速分钟/千米","最高步频每分钟步数","移动时间","平均移动配速分钟/千米","平均步速损失厘米/秒","平均步速损失百分比%"
"1","6:36.0","6:36.0","1.00","6:34","6:34","137","154","","","","","","","","","","","","","","","6:34","","6:36.0","6:34","",""
"2","5:57.0","12:33.0","1.00","5:57","5:57","155","159","","","","","","","","","","","","","","","5:57","","5:57.0","5:57","",""
"3","5:57.0","18:30.0","1.00","5:56","5:56","158","160","","","","","","","","","","","","","","","5:56","","5:57.0","5:56","",""
"4","6:01.0","24:31.0","1.01","5:58","5:58","159","165","","","","","","","","","","","","","","","5:58","","6:01.0","5:58","",""
"5","6:01.0","30:32.0","1.01","5:58","5:58","163","166","","","","","","","","","","","","","","","5:58","","6:01.0","5:58","",""
"6","6:02.0","36:34.0","1.00","6:01","6:01","164","168","","","","","","","","","","","","","","","6:01","","6:02.0","6:01","",""
"7","6:07.0","42:41.0","1.00","6:06","6:06","166","169","","","","","","","","","","","","","","","6:06","","6:07.0","6:06","",""
"8","6:00.0","48:41.0","1.00","6:00","6:00","167","169","","","","","","","","","","","","","","","6:00","","6:00.0","6:00","",""
"9","6:00.0","54:41.0","1.00","6:01","6:01","168","171","","","","","","","","","","","","","","","6:01","","6:00.0","6:01","",""
"10","5:52.0","60:33.0","0.96","6:08","6:08","167","171","","","","","","","","","","","","","","","6:08","","5:52.0","6:08","",""
"统计","60:50.0","60:50.0","10.03","6:03","6:03","160","171","","","","","","","","","","","","","594","","6:03","","60:50.0","6:03","--","--"
