"计圈","时间","累积时间","距离公里","平均配速分钟/千米","平均坡度调整配速分钟/千米","平均心率bpm","最大心率bpm","累计爬升米","累计下降米","平均功率瓦","平均 W/kg","最大功率瓦","最大 W/kg","平均步频每分钟步数","平均触地时间毫秒","平均 GCT 平衡%","平均步长米","平均垂直摆动cm","平均垂直步幅比%","热量消耗卡路里","平均温度","最佳配速分钟/千米","最高步频每分钟步数","移动时间","平均移动配速分钟/千米","平均步速损失厘米/秒","平均步速损失百分比%"
"1","6:15.0","6:15.0","1.00","6:14","6:14","136","151","","","","","","","","","","","","","","","6:14","","6:15.0","6:14","",""
"2","6:05.0","12:20.0","1.00","6:03","6:03","150","157","","","","","","","","","","","","","","","6:03","","6:05.0","6:03","",""
"3","5:59.0","18:19.0","1.00","5:57","5:57","153","157","","","","","","","","","","","","","","","5:57","","5:59.0","5:57","",""
"4","6:16.0","24:35.0","1.00","6:14","6:14","158","162","","","","","","","","","","","","","","","6:14","","6:16.0","6:14","",""
"5","6:17.0","30:52.0","1.00","6:18","6:18","162","165","","","","","","","","","","","","","","","6:18","","6:17.0","6:18","",""
"6","6:19.0","37:11.0","1.00","6:20","6:20","163","166","","","","","","","","","","","","","","","6:20","","6:19.0","6:20","",""
"7","6:12.0","43:23.0","1.00","6:10","6:10","166","171","","","","","","","","","","","","","","","6:10","","6:12.0","6:10","",""
"8","6:14.0","49:37.0","0.99","6:16","6:16","168","173","","","","","","","","","","","","","","","6:16","","6:14.0","6:16","",""
"9","6:11.0","55:48.0","0.99","6:13","6:13","169","173","","","","","","","","","","","","","","","6:13","","6:11.0","6:13","",""
"10","3:09.0","58:57.0","0.54","5:51","5:51","175","184","","","","","","","","","","","","","","","5:51","","3:09.0","5:51","",""
"统计","59:13.0","59:13.0","10.04","5:53","5:53","159","184","","","","","","","","","","","","","558","","5:53","","59:13.0","5:53","--","--"
