"计圈","时间","累积时间","距离公里","平均配速分钟/千米","平均坡度调整配速分钟/千米","平均心率bpm","最大心率bpm","累计爬升米","累计下降米","平均功率瓦","平均 W/kg","最大功率瓦","最大 W/kg","平均步频每分钟步数","平均触地时间毫秒","平均 GCT 平衡%","平均步长米","平均垂直摆动cm","平均垂直步幅比%","热量消耗卡路里","平均温度","最佳配速分钟/千米","最高步频每分钟步数","移动时间","平均移动配速分钟/千米","平均步速损失厘米/秒","平均步速损失百分比%"
"1","6:04.0","6:04.0","1.00","6:03","6:03","149","164","9","15","","","","","","","","","","","","","6:03","","6:04.0","6:03","",""
"2","6:06.0","12:10.0","1.00","6:06","6:06","138","150","10","6","","","","","","","","","","","","","6:06","","6:06.0","6:06","",""
"3","5:44.0","17:54.0","1.00","5:44","5:44","139","147","4","12","","","","","","","","","","","","","5:44","","5:44.0","5:44","",""
"4","5:43.0","23:37.0","1.00","5:43","5:43","140","144","3","13","","","","","","","","","","","","","5:43","","5:43.0","5:43","",""
"5","5:46.0","29:23.0","1.00","5:46","5:46","142","145","6","7","","","","","","","","","","","","","5:46","","5:46.0","5:46","",""
"6","5:41.0","35:04.0","1.00","5:41","5:41","143","148","8","9","","","","","","","","","","","","","5:41","","5:41.0","5:41","",""
"7","5:40.0","40:44.0","1.00","5:40","5:40","144","148","6","7","","","","","","","","","","","","","5:40","","5:40.0","5:40","",""
"8","5:38.0","46:22.0","1.00","5:38","5:38","144","147","4","4","","","","","","","","","","","","","5:38","","5:38.0","5:38","",""
"9","5:28.0","51:50.0","1.00","5:28","5:28","148","155","4","4","","","","","","","","","","","","","5:28","","5:28.0","5:28","",""
"10","5:24.0","57:14.0","1.00","5:24","5:24","150","156","5","5","","","","","","","","","","","","","5:24","","5:24.0","5:24","",""
"11","3:09.0","60:23.0","0.59","5:22","5:22","152","159","6","","","","","","","","","","","","","","5:22","","3:09.0","5:22","",""
"统计","60:33.0","60:33.0","10.60","5:42","5:42","144","164","28.0","","","","","","","","","","","","594","","5:42","","60:33.0","5:42","--","--"
