"计圈","时间","累积时间","距离公里","平均配速分钟/千米","平均坡度调整配速分钟/千米","平均心率bpm","最大心率bpm","累计爬升米","累计下降米","平均功率瓦","平均 W/kg","最大功率瓦","最大 W/kg","平均步频每分钟步数","平均触地时间毫秒","平均 GCT 平衡%","平均步长米","平均垂直摆动cm","平均垂直步幅比%","热量消耗卡路里","平均温度","最佳配速分钟/千米","最高步频每分钟步数","移动时间","平均移动配速分钟/千米","平均步速损失厘米/秒","平均步速损失百分比%"
"1","3:48.0","3:48.0","1.00","3:47","3:47","93","107","3","4","","","","","","","","","","","","","3:47","","3:48.0","3:47","",""
"2","3:08.0","6:56.0","1.00","3:08","3:08","97","103","2","1","","","","","","","","","","","","","3:08","","3:08.0","3:08","",""
"3","3:16.0","10:12.0","1.00","3:16","3:16","103","110","6","7","","","","","","","","","","","","","3:16","","3:16.0","3:16","",""
"4","3:05.0","13:17.0","1.00","3:05","3:05","103","110","2","3","","","","","","","","","","","","","3:05","","3:05.0","3:05","",""
"5","3:57.0","17:14.0","1.00","3:57","3:57","104","111","3","4","","","","","","","","","","","","","3:57","","3:57.0","3:57","",""
"6","3:47.0","21:01.0","1.00","3:47","3:47","105","112","2","2","","","","","","","","","","","","","3:47","","3:47.0","3:47","",""
"7","3:48.0","24:49.0","0.91","4:09","4:09","101","113","6","1","","","","","","","","","","","","","4:09","","3:48.0","4:09","",""
"统计","24:55.0","24:55.0","6.93","3:35","3:35","101","113","14.0","","","","","","","","","","","","109","","3:35","","24:55.0","3:35","--","--"
