"计圈","时间","累积时间","距离公里","平均配速分钟/千米","平均坡度调整配速分钟/千米","平均心率bpm","最大心率bpm","累计爬升米","累计下降米","平均功率瓦","平均 W/kg","最大功率瓦","最大 W/kg","平均步频每分钟步数","平均触地时间毫秒","平均 GCT 平衡%","平均步长米","平均垂直摆动cm","平均垂直步幅比%","热量消耗卡路里","平均温度","最佳配速分钟/千米","最高步频每分钟步数","移动时间","平均移动配速分钟/千米","平均步速损失厘米/秒","平均步速损失百分比%"
"1","6:27.0","6:27.0","1.00","6:27","6:27","118","127","","","","","","","","","","","","","","","6:27","","6:27.0","6:27","",""
"2","5:45.0","12:12.0","1.00","5:45","5:45","127","132","","","","","","","","","","","","","","","5:45","","5:45.0","5:45","",""
"3","5:38.0","17:50.0","1.00","5:38","5:38","128","132","","","","","","","","","","","","","","","5:38","","5:38.0","5:38","",""
"4","5:48.0","23:38.0","1.00","5:48","5:48","129","134","","","","","","","","","","","","","","","5:48","","5:48.0","5:48","",""
"5","5:59.0","29:37.0","1.00","5:59","5:59","131","136","","","","","","","","","","","","","","","5:59","","5:59.0","5:59","",""
"6","5:55.0","35:32.0","1.00","5:55","5:55","132","136","","","","","","","","","","","","","","","5:55","","5:55.0","5:55","",""
"7","6:05.0","41:37.0","1.00","6:06","6:06","134","142","","","","","","","","","","","","","","","6:06","","6:05.0","6:06","",""
"8","6:06.0","47:43.0","1.00","6:06","6:06","134","138","","","","","","","","","","","","","","","6:06","","6:06.0","6:06","",""
"9","5:59.0","53:42.0","1.00","6:00","6:00","135","140","","","","","","","","","","","","","","","6:00","","5:59.0","6:00","",""
"10","5:53.0","59:35.0","1.00","5:53","5:53","135","140","","","","","","","","","","","","","","","5:53","","5:53.0","5:53","",""
"11","0:05.0","59:40.0","0.01","5:59","5:59","133","134","","","","","","","","","","","","","","","5:59","","0:05.0","5:59","",""
"统计","59:50.0","59:50.0","10.03","5:57","5:57","130","142","","","","","","","","","","","","","424","","5:57","","59:50.0","5:57","--","--"
