"计圈","时间","累积时间","距离公里","平均配速分钟/千米","平均坡度调整配速分钟/千米","平均心率bpm","最大心率bpm","累计爬升米","累计下降米","平均功率瓦","平均 W/kg","最大功率瓦","最大 W/kg","平均步频每分钟步数","平均触地时间毫秒","平均 GCT 平衡%","平均步长米","平均垂直摆动cm","平均垂直步幅比%","热量消耗卡路里","平均温度","最佳配速分钟/千米","最高步频每分钟步数","移动时间","平均移动配速分钟/千米","平均步速损失厘米/秒","平均步速损失百分比%"
"1","6:51.0","6:51.0","1.00","6:50","6:50","123","136","10","19","","","","","","","","","","","","","6:50","","6:51.0","6:50","",""
"2","6:21.0","13:12.0","1.00","6:21","6:21","132","140","8","8","","","","","","","","","","","","","6:21","","6:21.0","6:21","",""
"3","6:17.0","19:29.0","1.00","6:17","6:17","130","138","2","9","","","","","","","","","","","","","6:17","","6:17.0","6:17","",""
"4","6:23.0","25:52.0","1.00","6:23","6:23","132","139","1","6","","","","","","","","","","","","","6:23","","6:23.0","6:23","",""
"5","6:41.0","32:33.0","1.00","6:40","6:40","130","135","5","1","","","","","","","","","","","","","6:40","","6:41.0","6:40","",""
"6","6:36.0","39:09.0","1.00","6:35","6:35","131","137","4","6","","","","","","","","","","","","","6:35","","6:36.0","6:35","",""
"7","6:27.0","45:36.0","1.00","6:27","6:27","135","140","1","3","","","","","","","","","","","","","6:27","","6:27.0","6:27","",""
"8","10:54.0","56:30.0","1.00","10:54","10:54","135","150","19","6","","","","","","","","","","","","","10:54","","10:54.0","10:54","",""
"9","5:56.0","62:26.0","1.00","5:56","5:56","142","150","3","14","","","","","","","","","","","","","5:56","","5:56.0","5:56","",""
"10","6:33.0","68:59.0","1.00","6:33","6:33","148","157","30","9","","","","","","","","","","","","","6:33","","6:33.0","6:33","",""
"11","6:19.0","75:18.0","1.00","6:18","6:18","147","156","13","10","","","","","","","","","","","","","6:18","","6:19.0","6:18","",""
"12","5:49.0","81:07.0","1.00","5:49","5:49","149","163","7","31","","","","","","","","","","","","","5:49","","5:49.0","5:49","",""
"13","6:11.0","87:18.0","1.00","6:10","6:10","149","154","2","3","","","","","","","","","","","","","6:10","","6:11.0","6:10","",""
"14","6:03.0","93:21.0","1.00","6:03","6:03","152","156","2","1","","","","","","","","","","","","","6:03","","6:03.0","6:03","",""
"15","6:06.0","99:27.0","1.00","6:06","6:06","155","161","9","2","","","","","","","","","","","","","6:06","","6:06.0","6:06","",""
"16","6:14.0","105:41.0","0.99","6:16","6:16","157","163","11","11","","","","","","","","","","","","","6:16","","6:14.0","6:16","",""
"统计","105:54.0","105:54.0","16.02","6:36","6:36","140","163","117.2","","","","","","","","","","","","913","","6:36","","105:54.0","6:36","--","--"
