"计圈","时间","累积时间","距离公里","平均配速分钟/千米","平均坡度调整配速分钟/千米","平均心率bpm","最大心率bpm","累计爬升米","累计下降米","平均功率瓦","平均 W/kg","最大功率瓦","最大 W/kg","平均步频每分钟步数","平均触地时间毫秒","平均 GCT 平衡%","平均步长米","平均垂直摆动cm","平均垂直步幅比%","热量消耗卡路里","平均温度","最佳配速分钟/千米","最高步频每分钟步数","移动时间","平均移动配速分钟/千米","平均步速损失厘米/秒","平均步速损失百分比%"
"1","6:59.0","6:59.0","1.00","6:57","6:57","127","140","","","","","","","","","","","","","","","6:57","","6:59.0","6:57","",""
"2","6:52.0","13:51.0","1.00","6:50","6:50","140","144","","","","","","","","","","","","","","","6:50","","6:52.0","6:50","",""
"3","6:54.0","20:45.0","1.00","6:53","6:53","144","149","","","","","","","","","","","","","","","6:53","","6:54.0","6:53","",""
"4","6:50.0","27:35.0","1.00","6:48","6:48","145","152","","","","","","","","","","","","","","","6:48","","6:50.0","6:48","",""
"5","6:43.0","34:18.0","1.00","6:43","6:43","147","151","","","","","","","","","","","","","","","6:43","","6:43.0","6:43","",""
"6","6:24.0","40:42.0","1.01","6:21","6:21","154","161","","","","","","","","","","","","","","","6:21","","6:24.0","6:21","",""
"7","6:13.0","46:55.0","1.00","6:12","6:12","162","165","","","","","","","","","","","","","","","6:12","","6:13.0","6:12","",""
"8","5:47.0","52:42.0","1.00","5:48","5:48","175","181","","","","","","","","","","","","","","","5:48","","5:47.0","5:48","",""
"9","2:50.0","55:32.0","0.49","5:43","5:43","185","193","","","","","","","","","","","","","","","5:43","","2:50.0","5:43","",""
"统计","55:46.0","55:46.0","10.04","5:33","5:33","150","193","","","","","","","","","","","","","571","","5:33","","55:46.0","5:33","--","--"
