"计圈","时间","累积时间","距离公里","平均配速分钟/千米","平均坡度调整配速分钟/千米","平均心率bpm","最大心率bpm","累计爬升米","累计下降米","平均功率瓦","平均 W/kg","最大功率瓦","最大 W/kg","平均步频每分钟步数","平均触地时间毫秒","平均 GCT 平衡%","平均步长米","平均垂直摆动cm","平均垂直步幅比%","热量消耗卡路里","平均温度","最佳配速分钟/千米","最高步频每分钟步数","移动时间","平均移动配速分钟/千米","平均步速损失厘米/秒","平均步速损失百分比%"
"1","5:49.0","5:49.0","1.00","5:48","5:48","131","145","","","","","","","","","","","","","","","5:48","","5:49.0","5:48","",""
"2","5:38.0","11:27.0","1.00","5:38","5:38","146","151","","","","","","","","","","","","","","","5:38","","5:38.0","5:38","",""
"3","5:28.0","16:55.0","0.99","5:30","5:30","150","156","","","","","","","","","","","","","","","5:30","","5:28.0","5:30","",""
"4","5:33.0","22:28.0","1.00","5:33","5:33","155","160","","","","","","","","","","","","","","","5:33","","5:33.0","5:33","",""
"5","5:33.0","28:01.0","0.99","5:35","5:35","158","163","","","","","","","","","","","","","","","5:35","","5:33.0","5:35","",""
"6","5:37.0","33:38.0","1.00","5:35","5:35","163","167","","","","","","","","","","","","","","","5:35","","5:37.0","5:35","",""
"7","5:37.0","39:15.0","1.00","5:36","5:36","164","168","","","","","","","","","","","","","","","5:36","","5:37.0","5:36","",""
"8","5:31.0","44:46.0","1.00","5:31","5:31","166","170","","","","","","","","","","","","","","","5:31","","5:31.0","5:31","",""
"9","5:20.0","50:06.0","1.00","5:20","5:20","168","172","","","","","","","","","","","","","","","5:20","","5:20.0","5:20","",""
"10","5:12.0","55:18.0","0.99","5:14","5:14","173","189","","","","","","","","","","","","","","","5:14","","5:12.0","5:14","",""
"11","4:25.0","59:43.0","0.91","4:51","4:51","193","197","","","","","","","","","","","","","","","4:51","","4:25.0","4:51","",""
"统计","60:03.0","60:03.0","10.44","5:45","5:45","160","197","","","","","","","","","","","","","583","","5:45","","60:03.0","5:45","--","--"
