"计圈","时间","累积时间","距离公里","平均配速分钟/千米","平均坡度调整配速分钟/千米","平均心率bpm","最大心率bpm","累计爬升米","累计下降米","平均功率瓦","平均 W/kg","最大功率瓦","最大 W/kg","平均步频每分钟步数","平均触地时间毫秒","平均 GCT 平衡%","平均步长米","平均垂直摆动cm","平均垂直步幅比%","热量消耗卡路里","平均温度","最佳配速分钟/千米","最高步频每分钟步数","移动时间","平均移动配速分钟/千米","平均步速损失厘米/秒","平均步速损失百分比%"
"1","5:16.0","5:16.0","1.00","5:15","5:15","79","89","1","4","","","","","","","","","","","","","5:15","","5:16.0","5:15","",""
"2","3:44.0","9:00.0","1.00","3:44","3:44","87","107","4","2","","","","","","","","","","","","","3:44","","3:44.0","3:44","",""
"3","4:23.0","13:23.0","1.00","4:23","4:23","86","100","2","4","","","","","","","","","","","","","4:23","","4:23.0","4:23","",""
"4","3:42.0","17:05.0","1.00","3:42","3:42","99","109","2","3","","","","","","","","","","","","","3:42","","3:42.0","3:42","",""
"5","3:21.0","20:26.0","1.00","3:21","3:21","105","112","2","2","","","","","","","","","","","","","3:21","","3:21.0","3:21","",""
"6","6:14.0","26:40.0","1.00","6:14","6:14","95","111","4","3","","","","","","","","","","","","","6:14","","6:14.0","6:14","",""
"7","3:56.0","30:36.0","0.46","8:32","8:32","92","108","5","6","","","","","","","","","","","","","8:32","","3:56.0","8:32","",""
"统计","30:42.0","30:42.0","6.48","4:44","4:44","91","112","13.4","","","","","","","","","","","","91","","4:44","","30:42.0","4:44","--","--"
