"计圈","时间","累积时间","距离公里","平均配速分钟/千米","平均坡度调整配速分钟/千米","平均心率bpm","最大心率bpm","累计爬升米","累计下降米","平均功率瓦","平均 W/kg","最大功率瓦","最大 W/kg","平均步频每分钟步数","平均触地时间毫秒","平均 GCT 平衡%","平均步长米","平均垂直摆动cm","平均垂直步幅比%","热量消耗卡路里","平均温度","最佳配速分钟/千米","最高步频每分钟步数","移动时间","平均移动配速分钟/千米","平均步速损失厘米/秒","平均步速损失百分比%"
"1","6:44.0","6:44.0","1.00","6:43","6:43","120","129","","","","","","","","","","","","","","","6:43","","6:44.0","6:43","",""
"2","6:31.0","13:15.0","1.00","6:29","6:29","129","133","","","","","","","","","","","","","","","6:29","","6:31.0","6:29","",""
"3","6:27.0","19:42.0","1.00","6:28","6:28","131","134","","","","","","","","","","","","","","","6:28","","6:27.0","6:28","",""
"4","6:30.0","26:12.0","1.00","6:31","6:31","134","140","","","","","","","","","","","","","","","6:31","","6:30.0","6:31","",""
"5","6:27.0","32:39.0","1.00","6:28","6:28","138","143","","","","","","","","","","","","","","","6:28","","6:27.0","6:28","",""
"6","6:22.0","39:01.0","1.00","6:22","6:22","140","145","","","","","","","","","","","","","","","6:22","","6:22.0","6:22","",""
"7","6:15.0","45:16.0","0.99","6:17","6:17","142","145","","","","","","","","","","","","","","","6:17","","6:15.0","6:17","",""
"8","6:19.0","51:35.0","1.00","6:17","6:17","145","151","","","","","","","","","","","","","","","6:17","","6:19.0","6:17","",""
"9","6:24.0","57:59.0","1.00","6:22","6:22","145","150","","","","","","","","","","","","","","","6:22","","6:24.0","6:22","",""
"10","5:46.0","63:45.0","0.99","5:48","5:48","173","190","","","","","","","","","","","","","","","5:48","","5:46.0","5:48","",""
"统计","64:05.0","64:05.0","10.07","6:21","6:21","139","190","","","","","","","","","","","","","561","","6:21","","64:05.0","6:21","--","--"
