"计圈","时间","累积时间","距离公里","平均配速分钟/千米","平均坡度调整配速分钟/千米","平均心率bpm","最大心率bpm","累计爬升米","累计下降米","平均功率瓦","平均 W/kg","最大功率瓦","最大 W/kg","平均步频每分钟步数","平均触地时间毫秒","平均 GCT 平衡%","平均步长米","平均垂直摆动cm","平均垂直步幅比%","热量消耗卡路里","平均温度","最佳配速分钟/千米","最高步频每分钟步数","移动时间","平均移动配速分钟/千米","平均步速损失厘米/秒","平均步速损失百分比%"
"1","3:18.0","3:18.0","1.00","3:17","3:17","86","106","21","19","","","","","","","","","","","","","3:17","","3:18.0","3:17","",""
"2","4:11.0","7:29.0","1.00","4:11","4:11","90","99","1","3","","","","","","","","","","","","","4:11","","4:11.0","4:11","",""
"3","4:09.0","11:38.0","1.00","4:09","4:09","89","101","3","3","","","","","","","","","","","","","4:09","","4:09.0","4:09","",""
"4","3:00.0","14:38.0","1.00","3:00","3:00","104","111","3","1","","","","","","","","","","","","","3:00","","3:00.0","3:00","",""
"5","6:16.0","20:54.0","1.00","6:17","6:17","95","110","2","4","","","","","","","","","","","","","6:17","","6:16.0","6:17","",""
"6","3:51.0","24:45.0","1.00","3:51","3:51","89","97","1","3","","","","","","","","","","","","","3:51","","3:51.0","3:51","",""
"7","6:13.0","30:58.0","0.98","6:21","6:21","90","100","9","9","","","","","","","","","","","","","6:21","","6:13.0","6:21","",""
"统计","31:04.0","31:04.0","7.00","4:26","4:26","91","111","23.4","","","","","","","","","","","","97","","4:26","","31:04.0","4:26","--","--"
