"计圈","时间","累积时间","距离公里","平均配速分钟/千米","平均坡度调整配速分钟/千米","平均心率bpm","最大心率bpm","累计爬升米","累计下降米","平均功率瓦","平均 W/kg","最大功率瓦","最大 W/kg","平均步频每分钟步数","平均触地时间毫秒","平均 GCT 平衡%","平均步长米","平均垂直摆动cm","平均垂直步幅比%","热量消耗卡路里","平均温度","最佳配速分钟/千米","最高步频每分钟步数","移动时间","平均移动配速分钟/千米","平均步速损失厘米/秒","平均步速损失百分比%"
"1","4:39.0","4:39.0","1.00","4:38","4:38","151","164","6","4","","","","","","","","","","","","","4:38","","4:39.0","4:38","",""
"2","4:35.0","9:14.0","1.00","4:35","4:35","168","174","5","5","","","","","","","","","","","","","4:35","","4:35.0","4:35","",""
"3","4:39.0","13:53.0","1.00","4:39","4:39","172","177","5","5","","","","","","","","","","","","","4:39","","4:39.0","4:39","",""
"4","4:39.0","18:32.0","1.00","4:39","4:39","173","177","4","5","","","","","","","","","","","","","4:39","","4:39.0","4:39","",""
"5","4:39.0","23:11.0","1.00","4:39","4:39","177","179","4","4","","","","","","","","","","","","","4:39","","4:39.0","4:39","",""
"6","4:42.0","27:53.0","1.00","4:42","4:42","179","181","5","5","","","","","","","","","","","","","4:42","","4:42.0","4:42","",""
"7","4:43.0","32:36.0","1.00","4:43","4:43","183","193","5","5","","","","","","","","","","","","","4:43","","4:43.0","4:43","",""
"8","4:45.0","37:21.0","1.00","4:45","4:45","182","186","3","4","","","","","","","","","","","","","4:45","","4:45.0","4:45","",""
"9","4:48.0","42:09.0","1.00","4:48","4:48","183","189","7","6","","","","","","","","","","","","","4:48","","4:48.0","4:48","",""
"10","4:43.0","46:52.0","1.00","4:43","4:43","183","187","5","4","","","","","","","","","","","","","4:43","","4:43.0","4:43","",""
"统计","47:01.0","47:01.0","10.01","4:41","4:41","175","193","11.0","","","","","","","","","","","","596","","4:41","","47:01.0","4:41","--","--"
