"计圈","时间","累积时间","距离公里","平均配速分钟/千米","平均坡度调整配速分钟/千米","平均心率bpm","最大心率bpm","累计爬升米","累计下降米","平均功率瓦","平均 W/kg","最大功率瓦","最大 W/kg","平均步频每分钟步数","平均触地时间毫秒","平均 GCT 平衡%","平均步长米","平均垂直摆动cm","平均垂直步幅比%","热量消耗卡路里","平均温度","最佳配速分钟/千米","最高步频每分钟步数","移动时间","平均移动配速分钟/千米","平均步速损失厘米/秒","平均步速损失百分比%"
"1","6:07.0","6:07.0","1.00","6:06","6:06","130","141","8","8","","","","","","","","","","","","","6:06","","6:07.0","6:06","",""
"2","6:02.0","12:09.0","1.00","6:02","6:02","141","146","3","8","","","","","","","","","","","","","6:02","","6:02.0","6:02","",""
"3","6:15.0","18:24.0","1.00","6:15","6:15","145","151","11","3","","","","","","","","","","","","","6:15","","6:15.0","6:15","",""
"4","5:57.0","24:21.0","1.00","5:57","5:57","142","147","3","12","","","","","","","","","","","","","5:57","","5:57.0","5:57","",""
"5","5:58.0","30:19.0","1.00","5:58","5:58","145","149","4","6","","","","","","","","","","","","","5:58","","5:58.0","5:58","",""
"6","6:01.0","36:20.0","1.00","6:01","6:01","148","152","5","4","","","","","","","","","","","","","6:01","","6:01.0","6:01","",""
"7","6:03.0","42:23.0","1.00","6:03","6:03","146","150","6","5","","","","","","","","","","","","","6:03","","6:03.0","6:03","",""
"8","5:59.0","48:22.0","1.00","5:59","5:59","147","153","5","6","","","","","","","","","","","","","5:59","","5:59.0","5:59","",""
"9","5:57.0","54:19.0","1.00","5:58","5:58","150","154","5","4","","","","","","","","","","","","","5:58","","5:57.0","5:58","",""
"10","5:53.0","60:12.0","1.00","5:53","5:53","150","154","4","7","","","","","","","","","","","","","5:53","","5:53.0","5:53","",""
"11","5:58.0","66:10.0","1.00","5:59","5:59","149","155","3","7","","","","","","","","","","","","","5:59","","5:58.0","5:59","",""
"12","5:47.0","71:57.0","1.00","5:47","5:47","152","156","4","6","","","","","","","","","","","","","5:47","","5:47.0","5:47","",""
"13","5:42.0","77:39.0","1.00","5:42","5:42","155","160","5","5","","","","","","","","","","","","","5:42","","5:42.0","5:42","",""
"14","5:48.0","83:27.0","1.00","5:49","5:49","152","159","5","4","","","","","","","","","","","","","5:49","","5:48.0","5:49","",""
"15","5:43.0","89:10.0","1.00","5:43","5:43","153","160","5","6","","","","","","","","","","","","","5:43","","5:43.0","5:43","",""
"16","3:04.0","92:14.0","0.54","5:42","5:42","158","160","3","1","","","","","","","","","","","","","5:42","","3:04.0","5:42","",""
"统计","92:29.0","92:29.0","15.56","5:56","5:56","147","160","21.0","","","","","","","","","","","","924","","5:56","","92:29.0","5:56","--","--"
