"计圈","时间","累积时间","距离公里","平均配速分钟/千米","平均坡度调整配速分钟/千米","平均心率bpm","最大心率bpm","累计爬升米","累计下降米","平均功率瓦","平均 W/kg","最大功率瓦","最大 W/kg","平均步频每分钟步数","平均触地时间毫秒","平均 GCT 平衡%","平均步长米","平均垂直摆动cm","平均垂直步幅比%","热量消耗卡路里","平均温度","最佳配速分钟/千米","最高步频每分钟步数","移动时间","平均移动配速分钟/千米","平均步速损失厘米/秒","平均步速损失百分比%"
"1","6:37.0","6:37.0","1.00","6:35","6:35","125","138","","","","","","","","","","","","","","","6:35","","6:37.0","6:35","",""
"2","6:12.0","12:49.0","0.99","6:13","6:13","138","143","","","","","","","","","","","","","","","6:13","","6:12.0","6:13","",""
"3","8:02.0","20:51.0","1.00","8:02","8:02","141","175","","","","","","","","","","","","","","","8:02","","8:02.0","8:02","",""
"4","7:09.0","28:00.0","1.00","7:11","7:11","151","180","","","","","","","","","","","","","","","7:11","","7:09.0","7:11","",""
"5","7:13.0","35:13.0","1.00","7:15","7:15","155","182","","","","","","","","","","","","","","","7:15","","7:13.0","7:15","",""
"6","7:13.0","42:26.0","1.00","7:13","7:13","159","182","","","","","","","","","","","","","","","7:13","","7:13.0","7:13","",""
"7","7:13.0","49:39.0","1.01","7:09","7:09","162","185","","","","","","","","","","","","","","","7:09","","7:13.0","7:09","",""
"8","8:00.0","57:39.0","0.99","8:03","8:03","165","187","","","","","","","","","","","","","","","8:03","","8:00.0","8:03","",""
"9","6:58.0","64:37.0","0.98","7:08","7:08","164","189","","","","","","","","","","","","","","","7:08","","6:58.0","7:08","",""
"统计","64:56.0","64:56.0","10.06","6:27","6:27","152","189","","","","","","","","","","","","","549","","6:27","","64:56.0","6:27","--","--"
