"计圈","时间","累积时间","距离公里","平均配速分钟/千米","平均坡度调整配速分钟/千米","平均心率bpm","最大心率bpm","累计爬升米","累计下降米","平均功率瓦","平均 W/kg","最大功率瓦","最大 W/kg","平均步频每分钟步数","平均触地时间毫秒","平均 GCT 平衡%","平均步长米","平均垂直摆动cm","平均垂直步幅比%","热量消耗卡路里","平均温度","最佳配速分钟/千米","最高步频每分钟步数","移动时间","平均移动配速分钟/千米","平均步速损失厘米/秒","平均步速损失百分比%"
"1","5:14.0","5:14.0","1.00","5:14","5:14","131","141","","","","","","","","","","","","","","","5:14","","5:14.0","5:14","",""
"2","4:58.0","10:12.0","1.00","4:59","4:59","154","169","","","","","","","","","","","","","","","4:59","","4:58.0","4:59","",""
"3","4:45.0","14:57.0","1.00","4:45","4:45","172","177","","","","","","","","","","","","","","","4:45","","4:45.0","4:45","",""
"4","4:41.0","19:38.0","1.00","4:41","4:41","179","184","","","","","","","","","","","","","","","4:41","","4:41.0","4:41","",""
"5","6:10.0","25:48.0","1.00","6:10","6:10","169","184","","","","","","","","","","","","","","","6:10","","6:10.0","6:10","",""
"6","4:45.0","30:33.0","1.00","4:45","4:45","181","188","","","","","","","","","","","","","","","4:45","","4:45.0","4:45","",""
"7","4:36.0","35:09.0","1.00","4:36","4:36","188","191","","","","","","","","","","","","","","","4:36","","4:36.0","4:36","",""
"8","4:43.0","39:52.0","1.00","4:44","4:44","191","194","","","","","","","","","","","","","","","4:44","","4:43.0","4:44","",""
"9","4:17.0","44:09.0","0.43","9:51","9:51","166","194","","","","","","","","","","","","","","","9:51","","4:17.0","9:51","",""
"统计","44:17.0","44:17.0","8.45","5:14","5:14","170","194","","","","","","","","","","","","","524","","5:14","","44:17.0","5:14","--","--"
