"计圈","时间","累积时间","距离公里","平均配速分钟/千米","平均坡度调整配速分钟/千米","平均心率bpm","最大心率bpm","累计爬升米","累计下降米","平均功率瓦","平均 W/kg","最大功率瓦","最大 W/kg","平均步频每分钟步数","平均触地时间毫秒","平均 GCT 平衡%","平均步长米","平均垂直摆动cm","平均垂直步幅比%","热量消耗卡路里","平均温度","最佳配速分钟/千米","最高步频每分钟步数","移动时间","平均移动配速分钟/千米","平均步速损失厘米/秒","平均步速损失百分比%"
"1","6:12.0","6:12.0","1.00","6:11","6:11","120","130","","","","","","","","","","","","","","","6:11","","6:12.0","6:11","",""
"2","6:07.0","12:19.0","1.00","6:05","6:05","133","138","","","","","","","","","","","","","","","6:05","","6:07.0","6:05","",""
"3","6:02.0","18:21.0","1.00","6:01","6:01","135","140","","","","","","","","","","","","","","","6:01","","6:02.0","6:01","",""
"4","5:59.0","24:20.0","1.00","5:59","5:59","137","141","","","","","","","","","","","","","","","5:59","","5:59.0","5:59","",""
"5","6:14.0","30:34.0","1.01","6:11","6:11","140","143","","","","","","","","","","","","","","","6:11","","6:14.0","6:11","",""
"6","6:10.0","36:44.0","1.00","6:11","6:11","143","146","","","","","","","","","","","","","","","6:11","","6:10.0","6:11","",""
"7","6:13.0","42:57.0","0.99","6:14","6:14","143","148","","","","","","","","","","","","","","","6:14","","6:13.0","6:14","",""
"8","6:10.0","49:07.0","1.00","6:11","6:11","144","150","","","","","","","","","","","","","","","6:11","","6:10.0","6:11","",""
"9","5:56.0","55:03.0","1.00","5:54","5:54","149","165","","","","","","","","","","","","","","","5:54","","5:56.0","5:54","",""
"10","5:32.0","60:35.0","1.00","5:31","5:31","167","170","","","","","","","","","","","","","","","5:31","","5:32.0","5:31","",""
"11","2:21.0","62:56.0","0.42","5:35","5:35","170","173","","","","","","","","","","","","","","","5:35","","2:21.0","5:35","",""
"统计","63:16.0","63:16.0","10.03","6:18","6:18","142","173","","","","","","","","","","","","","543","","6:18","","63:16.0","6:18","--","--"
