"计圈","时间","累积时间","距离公里","平均配速分钟/千米","平均坡度调整配速分钟/千米","平均心率bpm","最大心率bpm","累计爬升米","累计下降米","平均功率瓦","平均 W/kg","最大功率瓦","最大 W/kg","平均步频每分钟步数","平均触地时间毫秒","平均 GCT 平衡%","平均步长米","平均垂直摆动cm","平均垂直步幅比%","热量消耗卡路里","平均温度","最佳配速分钟/千米","最高步频每分钟步数","移动时间","平均移动配速分钟/千米","平均步速损失厘米/秒","平均步速损失百分比%"
"1","5:54.0","5:54.0","1.00","5:53","5:53","131","150","9","14","","","","","","","","","","","","","5:53","","5:54.0","5:53","",""
"2","5:53.0","11:47.0","1.00","5:53","5:53","139","146","3","6","","","","","","","","","","","","","5:53","","5:53.0","5:53","",""
"3","5:52.0","17:39.0","1.00","5:52","5:52","142","149","3","8","","","","","","","","","","","","","5:52","","5:52.0","5:52","",""
"4","5:53.0","23:32.0","1.00","5:53","5:53","146","152","6","8","","","","","","","","","","","","","5:53","","5:53.0","5:53","",""
"5","5:49.0","29:21.0","1.00","5:49","5:49","146","150","3","5","","","","","","","","","","","","","5:49","","5:49.0","5:49","",""
"6","5:52.0","35:13.0","1.00","5:52","5:52","147","152","3","4","","","","","","","","","","","","","5:52","","5:52.0","5:52","",""
"7","5:50.0","41:03.0","1.00","5:50","5:50","148","152","3","4","","","","","","","","","","","","","5:50","","5:50.0","5:50","",""
"8","5:48.0","46:51.0","1.00","5:48","5:48","147","152","4","7","","","","","","","","","","","","","5:48","","5:48.0","5:48","",""
"9","5:51.0","52:42.0","1.00","5:51","5:51","144","149","6","6","","","","","","","","","","","","","5:51","","5:51.0","5:51","",""
"10","5:48.0","58:30.0","1.00","5:48","5:48","143","149","4","4","","","","","","","","","","","","","5:48","","5:48.0","5:48","",""
"11","5:49.0","64:19.0","1.00","5:49","5:49","143","147","3","4","","","","","","","","","","","","","5:49","","5:49.0","5:49","",""
"12","5:43.0","70:02.0","1.00","5:44","5:44","144","149","4","3","","","","","","","","","","","","","5:44","","5:43.0","5:44","",""
"13","5:37.0","75:39.0","1.00","5:37","5:37","144","149","4","5","","","","","","","","","","","","","5:37","","5:37.0","5:37","",""
"14","5:38.0","81:17.0","1.00","5:37","5:37","145","148","5","5","","","","","","","","","","","","","5:37","","5:38.0","5:37","",""
"15","5:33.0","86:50.0","1.00","5:33","5:33","146","149","4","5","","","","","","","","","","","","","5:33","","5:33.0","5:33","",""
"16","5:26.0","92:16.0","0.99","5:30","5:30","148","152","9","3","","","","","","","","","","","","","5:30","","5:26.0","5:30","",""
"统计","92:31.0","92:31.0","16.01","5:46","5:46","144","152","23.0","","","","","","","","","","","","957","","5:46","","92:31.0","5:46","--","--"
