"计圈","时间","累积时间","距离公里","平均配速分钟/千米","平均坡度调整配速分钟/千米","平均心率bpm","最大心率bpm","累计爬升米","累计下降米","平均功率瓦","平均 W/kg","最大功率瓦","最大 W/kg","平均步频每分钟步数","平均触地时间毫秒","平均 GCT 平衡%","平均步长米","平均垂直摆动cm","平均垂直步幅比%","热量消耗卡路里","平均温度","最佳配速分钟/千米","最高步频每分钟步数","移动时间","平均移动配速分钟/千米","平均步速损失厘米/秒","平均步速损失百分比%"
"1","6:21.0","6:21.0","1.01","6:18","6:18","123","137","","","","","","","","","","","","","","","6:18","","6:21.0","6:18","",""
"2","6:25.0","12:46.0","1.00","6:26","6:26","135","140","","","","","","","","","","","","","","","6:26","","6:25.0","6:26","",""
"3","5:39.0","18:25.0","0.99","5:41","5:41","165","178","","","","","","","","","","","","","","","5:41","","5:39.0","5:41","",""
"4","6:13.0","24:38.0","1.00","6:12","6:12","154","185","","","","","","","","","","","","","","","6:12","","6:13.0","6:12","",""
"5","6:46.0","31:24.0","0.99","6:48","6:48","162","186","","","","","","","","","","","","","","","6:48","","6:46.0","6:48","",""
"6","6:47.0","38:11.0","1.01","6:43","6:43","163","188","","","","","","","","","","","","","","","6:43","","6:47.0","6:43","",""
"7","6:42.0","44:53.0","1.01","6:39","6:39","168","191","","","","","","","","","","","","","","","6:39","","6:42.0","6:39","",""
"8","6:43.0","51:36.0","0.99","6:45","6:45","168","191","","","","","","","","","","","","","","","6:45","","6:43.0","6:45","",""
"9","6:46.0","58:22.0","1.00","6:46","6:46","170","191","","","","","","","","","","","","","","","6:46","","6:46.0","6:46","",""
"10","4:07.0","62:29.0","0.79","5:12","5:12","189","193","","","","","","","","","","","","","","","5:12","","4:07.0","5:12","",""
"统计","62:48.0","62:48.0","11.05","5:40","5:40","159","193","","","","","","","","","","","","","594","","5:40","","62:48.0","5:40","--","--"
