"计圈","时间","累积时间","距离公里","平均配速分钟/千米","平均坡度调整配速分钟/千米","平均心率bpm","最大心率bpm","累计爬升米","累计下降米","平均功率瓦","平均 W/kg","最大功率瓦","最大 W/kg","平均步频每分钟步数","平均触地时间毫秒","平均 GCT 平衡%","平均步长米","平均垂直摆动cm","平均垂直步幅比%","热量消耗卡路里","平均温度","最佳配速分钟/千米","最高步频每分钟步数","移动时间","平均移动配速分钟/千米","平均步速损失厘米/秒","平均步速损失百分比%"
"1","5:48.0","5:48.0","1.00","5:47","5:47","128","141","","","","","","","","","","","","","","","5:47","","5:48.0","5:47","",""
"2","5:16.0","11:04.0","1.00","5:16","5:16","149","173","","","","","","","","","","","","","","","5:16","","5:16.0","5:16","",""
"3","4:34.0","15:38.0","1.00","4:35","4:35","178","184","","","","","","","","","","","","","","","4:35","","4:34.0","4:35","",""
"4","6:00.0","21:38.0","1.00","6:01","6:01","167","186","","","","","","","","","","","","","","","6:01","","6:00.0","6:01","",""
"5","4:39.0","26:17.0","1.00","4:39","4:39","185","190","","","","","","","","","","","","","","","4:39","","4:39.0","4:39","",""
"6","6:01.0","32:18.0","1.00","6:01","6:01","174","191","","","","","","","","","","","","","","","6:01","","6:01.0","6:01","",""
"7","4:41.0","36:59.0","1.00","4:41","4:41","188","192","","","","","","","","","","","","","","","4:41","","4:41.0","4:41","",""
"8","6:04.0","43:03.0","1.00","6:04","6:04","180","194","","","","","","","","","","","","","","","6:04","","6:04.0","6:04","",""
"9","4:36.0","47:39.0","0.69","6:37","6:37","183","194","","","","","","","","","","","","","","","6:37","","4:36.0","6:37","",""
"统计","47:47.0","47:47.0","8.71","5:29","5:29","169","194","","","","","","","","","","","","","558","","5:29","","47:47.0","5:29","--","--"
