"计圈","时间","累积时间","距离公里","平均配速分钟/千米","平均坡度调整配速分钟/千米","平均心率bpm","最大心率bpm","累计爬升米","累计下降米","平均功率瓦","平均 W/kg","最大功率瓦","最大 W/kg","平均步频每分钟步数","平均触地时间毫秒","平均 GCT 平衡%","平均步长米","平均垂直摆动cm","平均垂直步幅比%","热量消耗卡路里","平均温度","最佳配速分钟/千米","最高步频每分钟步数","移动时间","平均移动配速分钟/千米","平均步速损失厘米/秒","平均步速损失百分比%"
"1","3:53.0","3:53.0","1.00","3:52","3:52","97","107","6","3","","","","","","","","","","","","","3:52","","3:53.0","3:52","",""
"2","3:09.0","7:02.0","1.00","3:09","3:09","103","110","1","2","","","","","","","","","","","","","3:09","","3:09.0","3:09","",""
"3","3:29.0","10:31.0","1.00","3:29","3:29","106","114","4","3","","","","","","","","","","","","","3:29","","3:29.0","3:29","",""
"4","2:59.0","13:30.0","1.00","2:59","2:59","105","114","5","7","","","","","","","","","","","","","2:59","","2:59.0","2:59","",""
"5","3:58.0","17:28.0","1.00","3:57","3:57","106","117","3","3","","","","","","","","","","","","","3:57","","3:58.0","3:57","",""
"6","3:48.0","21:16.0","1.00","3:49","3:49","104","115","2","3","","","","","","","","","","","","","3:49","","3:48.0","3:49","",""
"7","3:51.0","25:07.0","0.92","4:11","4:11","103","115","13","9","","","","","","","","","","","","","4:11","","3:51.0","4:11","",""
"统计","25:13.0","25:13.0","6.94","3:38","3:38","103","117","21.3","","","","","","","","","","","","108","","3:38","","25:13.0","3:38","--","--"
