"计圈","时间","累积时间","距离公里","平均配速分钟/千米","平均坡度调整配速分钟/千米","平均心率bpm","最大心率bpm","累计爬升米","累计下降米","平均功率瓦","平均 W/kg","最大功率瓦","最大 W/kg","平均步频每分钟步数","平均触地时间毫秒","平均 GCT 平衡%","平均步长米","平均垂直摆动cm","平均垂直步幅比%","热量消耗卡路里","平均温度","最佳配速分钟/千米","最高步频每分钟步数","移动时间","平均移动配速分钟/千米","平均步速损失厘米/秒","平均步速损失百分比%"
"1","5:41.0","5:41.0","1.00","5:39","5:39","128","142","","","","","","","","","","","","","","","5:39","","5:41.0","5:39","",""
"2","5:33.0","11:14.0","1.00","5:33","5:33","144","150","","","","","","","","","","","","","","","5:33","","5:33.0","5:33","",""
"3","5:35.0","16:49.0","1.00","5:33","5:33","147","153","","","","","","","","","","","","","","","5:33","","5:35.0","5:33","",""
"4","5:36.0","22:25.0","1.00","5:37","5:37","151","156","","","","","","","","","","","","","","","5:37","","5:36.0","5:37","",""
"5","5:30.0","27:55.0","0.99","5:32","5:32","154","158","","","","","","","","","","","","","","","5:32","","5:30.0","5:32","",""
"6","5:35.0","33:30.0","1.01","5:32","5:32","158","162","","","","","","","","","","","","","","","5:32","","5:35.0","5:32","",""
"7","5:34.0","39:04.0","1.00","5:33","5:33","160","168","","","","","","","","","","","","","","","5:33","","5:34.0","5:33","",""
"8","5:33.0","44:37.0","0.99","5:34","5:34","161","165","","","","","","","","","","","","","","","5:34","","5:33.0","5:34","",""
"9","5:30.0","50:07.0","1.00","5:30","5:30","163","167","","","","","","","","","","","","","","","5:30","","5:30.0","5:30","",""
"10","5:31.0","55:38.0","1.00","5:29","5:29","165","169","","","","","","","","","","","","","","","5:29","","5:31.0","5:29","",""
"11","4:42.0","60:20.0","1.00","4:42","4:42","180","190","","","","","","","","","","","","","","","4:42","","4:42.0","4:42","",""
"12","0:42.0","61:02.0","0.15","4:32","4:32","189","191","","","","","","","","","","","","","","","4:32","","0:42.0","4:32","",""
"统计","61:22.0","61:22.0","10.59","5:47","5:47","156","191","","","","","","","","","","","","","587","","5:47","","61:22.0","5:47","--","--"
