"计圈","时间","累积时间","距离公里","平均配速分钟/千米","平均坡度调整配速分钟/千米","平均心率bpm","最大心率bpm","累计爬升米","累计下降米","平均功率瓦","平均 W/kg","最大功率瓦","最大 W/kg","平均步频每分钟步数","平均触地时间毫秒","平均 GCT 平衡%","平均步长米","平均垂直摆动cm","平均垂直步幅比%","热量消耗卡路里","平均温度","最佳配速分钟/千米","最高步频每分钟步数","移动时间","平均移动配速分钟/千米","平均步速损失厘米/秒","平均步速损失百分比%"
"1","6:10.0","6:10.0","1.00","6:09","6:09","125","139","","","","","","","","","","","","","","","6:09","","6:10.0","6:09","",""
"2","6:01.0","12:11.0","1.00","6:00","6:00","140","144","","","","","","","","","","","","","","","6:00","","6:01.0","6:00","",""
"3","6:07.0","18:18.0","0.99","6:09","6:09","143","148","","","","","","","","","","","","","","","6:09","","6:07.0","6:09","",""
"4","6:06.0","24:24.0","1.00","6:05","6:05","146","151","","","","","","","","","","","","","","","6:05","","6:06.0","6:05","",""
"5","6:01.0","30:25.0","1.00","6:00","6:00","149","152","","","","","","","","","","","","","","","6:00","","6:01.0","6:00","",""
"6","6:15.0","36:40.0","1.00","6:15","6:15","151","155","","","","","","","","","","","","","","","6:15","","6:15.0","6:15","",""
"7","6:27.0","43:07.0","1.00","6:26","6:26","150","154","","","","","","","","","","","","","","","6:26","","6:27.0","6:26","",""
"8","6:12.0","49:19.0","1.00","6:11","6:11","151","154","","","","","","","","","","","","","","","6:11","","6:12.0","6:11","",""
"9","6:05.0","55:24.0","1.00","6:06","6:06","152","157","","","","","","","","","","","","","","","6:06","","6:05.0","6:06","",""
"10","6:09.0","61:33.0","1.00","6:08","6:08","152","156","","","","","","","","","","","","","","","6:08","","6:09.0","6:08","",""
"11","4:16.0","65:49.0","0.70","6:05","6:05","151","155","","","","","","","","","","","","","","","6:05","","4:16.0","6:05","",""
"统计","66:04.0","66:04.0","10.02","6:35","6:35","146","157","","","","","","","","","","","","","599","","6:35","","66:04.0","6:35","--","--"
