"计圈","时间","累积时间","距离公里","平均配速分钟/千米","平均坡度调整配速分钟/千米","平均心率bpm","最大心率bpm","累计爬升米","累计下降米","平均功率瓦","平均 W/kg","最大功率瓦","最大 W/kg","平均步频每分钟步数","平均触地时间毫秒","平均 GCT 平衡%","平均步长米","平均垂直摆动cm","平均垂直步幅比%","热量消耗卡路里","平均温度","最佳配速分钟/千米","最高步频每分钟步数","移动时间","平均移动配速分钟/千米","平均步速损失厘米/秒","平均步速损失百分比%"
"1","4:35.0","4:35.0","1.00","4:34","4:34","152","167","9","6","","","","","","","","","","","","","4:34","","4:35.0","4:34","",""
"2","4:32.0","9:07.0","1.00","4:32","4:32","169","175","4","5","","","","","","","","","","","","","4:32","","4:32.0","4:32","",""
"3","4:34.0","13:41.0","1.00","4:34","4:34","174","178","5","5","","","","","","","","","","","","","4:34","","4:34.0","4:34","",""
"4","4:34.0","18:15.0","1.00","4:34","4:34","175","180","6","6","","","","","","","","","","","","","4:34","","4:34.0","4:34","",""
"5","4:30.0","22:45.0","1.00","4:30","4:30","178","181","5","5","","","","","","","","","","","","","4:30","","4:30.0","4:30","",""
"6","4:29.0","27:14.0","1.00","4:29","4:29","178","182","5","6","","","","","","","","","","","","","4:29","","4:29.0","4:29","",""
"7","4:25.0","31:39.0","1.00","4:25","4:25","180","184","5","5","","","","","","","","","","","","","4:25","","4:25.0","4:25","",""
"8","4:30.0","36:09.0","1.00","4:31","4:31","181","185","4","4","","","","","","","","","","","","","4:31","","4:30.0","4:31","",""
"9","4:25.0","40:34.0","1.00","4:25","4:25","182","186","6","6","","","","","","","","","","","","","4:25","","4:25.0","4:25","",""
"10","4:09.0","44:43.0","0.99","4:10","4:10","187","190","6","5","","","","","","","","","","","","","4:10","","4:09.0","4:10","",""
"统计","44:52.0","44:52.0","10.01","4:28","4:28","176","190","17.0","","","","","","","","","","","","570","","4:28","","44:52.0","4:28","--","--"
