"计圈","时间","累积时间","距离公里","平均配速分钟/千米","平均坡度调整配速分钟/千米","平均心率bpm","最大心率bpm","累计爬升米","累计下降米","平均功率瓦","平均 W/kg","最大功率瓦","最大 W/kg","平均步频每分钟步数","平均触地时间毫秒","平均 GCT 平衡%","平均步长米","平均垂直摆动cm","平均垂直步幅比%","热量消耗卡路里","平均温度","最佳配速分钟/千米","最高步频每分钟步数","移动时间","平均移动配速分钟/千米","平均步速损失厘米/秒","平均步速损失百分比%"
"1","33:02.0","33:02.0","1.00","33:02","33:02","139","154","","","","","","","","","","","","","","","33:02","","33:02.0","33:02","",""
"2","0:09.0","33:11.0","0.00","0:00","0:00","148","150","","","","","","","","","","","","","","","0:00","","0:09.0","0:00","",""
"统计","34:13.0","34:13.0","1.00","34:13","34:13","140","154","","","","","","","","","","","","","303","","34:13","","34:13.0","34:13","--","--"
