"计圈","时间","累积时间","距离公里","平均配速分钟/千米","平均坡度调整配速分钟/千米","平均心率bpm","最大心率bpm","累计爬升米","累计下降米","平均功率瓦","平均 W/kg","最大功率瓦","最大 W/kg","平均步频每分钟步数","平均触地时间毫秒","平均 GCT 平衡%","平均步长米","平均垂直摆动cm","平均垂直步幅比%","热量消耗卡路里","平均温度","最佳配速分钟/千米","最高步频每分钟步数","移动时间","平均移动配速分钟/千米","平均步速损失厘米/秒","平均步速损失百分比%"
"1","6:25.0","6:25.0","1.00","6:24","6:24","125","137","","","","","","","","","","","","","","","6:24","","6:25.0","6:24","",""
"2","6:04.0","12:29.0","1.00","6:04","6:04","134","139","","","","","","","","","","","","","","","6:04","","6:04.0","6:04","",""
"3","5:58.0","18:27.0","1.00","5:58","5:58","136","143","","","","","","","","","","","","","","","5:58","","5:58.0","5:58","",""
"4","6:05.0","24:32.0","1.00","6:05","6:05","139","143","","","","","","","","","","","","","","","6:05","","6:05.0","6:05","",""
"5","6:11.0","30:43.0","1.00","6:11","6:11","140","144","","","","","","","","","","","","","","","6:11","","6:11.0","6:11","",""
"6","5:59.0","36:42.0","1.00","5:59","5:59","141","147","","","","","","","","","","","","","","","5:59","","5:59.0","5:59","",""
"7","5:57.0","42:39.0","1.00","5:57","5:57","141","146","","","","","","","","","","","","","","","5:57","","5:57.0","5:57","",""
"8","5:58.0","48:37.0","1.00","5:57","5:57","141","146","","","","","","","","","","","","","","","5:57","","5:58.0","5:57","",""
"9","5:57.0","54:34.0","1.00","5:57","5:57","141","146","","","","","","","","","","","","","","","5:57","","5:57.0","5:57","",""
"10","5:12.0","59:46.0","1.00","5:12","5:12","154","181","","","","","","","","","","","","","","","5:12","","5:12.0","5:12","",""
"11","0:38.0","60:24.0","0.07","8:34","8:34","177","182","","","","","","","","","","","","","","","8:34","","0:38.0","8:34","",""
"统计","60:34.0","60:34.0","10.09","6:00","6:00","139","182","","","","","","","","","","","","","498","","6:00","","60:34.0","6:00","--","--"
