"计圈","时间","累积时间","距离公里","平均配速分钟/千米","平均坡度调整配速分钟/千米","平均心率bpm","最大心率bpm","累计爬升米","累计下降米","平均功率瓦","平均 W/kg","最大功率瓦","最大 W/kg","平均步频每分钟步数","平均触地时间毫秒","平均 GCT 平衡%","平均步长米","平均垂直摆动cm","平均垂直步幅比%","热量消耗卡路里","平均温度","最佳配速分钟/千米","最高步频每分钟步数","移动时间","平均移动配速分钟/千米","平均步速损失厘米/秒","平均步速损失百分比%"
"1","14:26.0","14:26.0","1.00","14:24","14:24","137","161","160","20","","","","","","","","","","","","","14:24","","14:26.0","14:24","",""
"2","8:31.0","22:57.0","1.00","8:31","8:31","146","157","43","45","","","","","","","","","","","","","8:31","","8:31.0","8:31","",""
"3","8:32.0","31:29.0","1.00","8:33","8:33","156","173","58","49","","","","","","","","","","","","","8:33","","8:32.0","8:33","",""
"4","11:00.0","42:29.0","1.00","11:00","11:00","156","169","94","13","","","","","","","","","","","","","11:00","","11:00.0","11:00","",""
"5","13:26.0","55:55.0","1.00","13:27","13:27","147","164","105","49","","","","","","","","","","","","","13:27","","13:26.0","13:27","",""
"6","14:40.0","70:35.0","1.00","14:39","14:39","151","167","103","96","","","","","","","","","","","","","14:39","","14:40.0","14:39","",""
"7","21:45.0","92:20.0","1.00","21:46","21:46","137","161","93","142","","","","","","","","","","","","","21:46","","21:45.0","21:46","",""
"8","12:37.0","104:57.0","1.00","12:36","12:36","153","165","91","89","","","","","","","","","","","","","12:36","","12:37.0","12:36","",""
"9","18:52.0","123:49.0","1.00","18:52","18:52","154","170","193","56","","","","","","","","","","","","","18:52","","18:52.0","18:52","",""
"10","16:03.0","139:52.0","1.00","16:02","16:02","128","166","54","131","","","","","","","","","","","","","16:02","","16:03.0","16:02","",""
"11","7:55.0","147:47.0","1.00","7:55","7:55","152","171","35","76","","","","","","","","","","","","","7:55","","7:55.0","7:55","",""
"12","11:20.0","159:07.0","1.00","11:20","11:20","136","149","59","22","","","","","","","","","","","","","11:20","","11:20.0","11:20","",""
"13","18:46.0","177:53.0","1.00","18:45","18:45","131","165","32","107","","","","","","","","","","","","","18:45","","18:46.0","18:45","",""
"14","13:13.0","191:06.0","1.00","13:13","13:13","125","146","","209","","","","","","","","","","","","","13:13","","13:13.0","13:13","",""
"15","11:21.0","202:27.0","1.00","11:22","11:22","153","169","82","9","","","","","","","","","","","","","11:22","","11:21.0","11:22","",""
"16","16:32.0","218:59.0","1.00","16:31","16:31","148","161","130","54","","","","","","","","","","","","","16:31","","16:32.0","16:31","",""
"17","20:37.0","239:36.0","1.00","20:37","20:37","138","173","90","104","","","","","","","","","","","","","20:37","","20:37.0","20:37","",""
"18","13:35.0","253:11.0","1.00","13:35","13:35","122","153","22","149","","","","","","","","","","","","","13:35","","13:35.0","13:35","",""
"19","16:55.0","270:06.0","1.00","16:54","16:54","135","157","95","16","","","","","","","","","","","","","16:54","","16:55.0","16:54","",""
"20","7:05.0","277:11.0","1.00","7:05","7:05","154","165","24","39","","","","","","","","","","","","","7:05","","7:05.0","7:05","",""
"21","15:30.0","292:41.0","1.00","15:32","15:32","150","168","92","30","","","","","","","","","","","","","15:32","","15:30.0","15:32","",""
"22","10:28.0","303:09.0","1.00","10:28","10:28","137","155","27","108","","","","","","","","","","","","","10:28","","10:28.0","10:28","",""
"23","11:25.0","314:34.0","1.00","11:25","11:25","144","160","61","49","","","","","","","","","","","","","11:25","","11:25.0","11:25","",""
"24","4:39.0","319:13.0","0.62","7:28","7:28","142","164","14","31","","","","","","","","","","","","","7:28","","4:39.0","7:28","",""
"统计","319:36.0","319:36.0","23.64","13:31","13:31","142","173","1641.0","","","","","","","","","","","","2082","","13:31","","319:36.0","13:31","--","--"
