"计圈","时间","累积时间","距离公里","平均配速分钟/千米","平均坡度调整配速分钟/千米","平均心率bpm","最大心率bpm","累计爬升米","累计下降米","平均功率瓦","平均 W/kg","最大功率瓦","最大 W/kg","平均步频每分钟步数","平均触地时间毫秒","平均 GCT 平衡%","平均步长米","平均垂直摆动cm","平均垂直步幅比%","热量消耗卡路里","平均温度","最佳配速分钟/千米","最高步频每分钟步数","移动时间","平均移动配速分钟/千米","平均步速损失厘米/秒","平均步速损失百分比%"
"1","7:39.0","7:39.0","1.00","7:38","7:38","122","136","","","","","","","","","","","","","","","7:38","","7:39.0","7:38","",""
"2","5:50.0","13:29.0","1.00","5:50","5:50","160","169","","","","","","","","","","","","","","","5:50","","5:50.0","5:50","",""
"3","5:47.0","19:16.0","1.00","5:48","5:48","172","176","","","","","","","","","","","","","","","5:48","","5:47.0","5:48","",""
"4","5:39.0","24:55.0","0.99","5:40","5:40","177","181","","","","","","","","","","","","","","","5:40","","5:39.0","5:40","",""
"5","9:49.0","34:44.0","0.99","9:52","9:52","135","182","","","","","","","","","","","","","","","9:52","","9:49.0","9:52","",""
"6","5:53.0","40:37.0","1.01","5:50","5:50","169","175","","","","","","","","","","","","","","","5:50","","5:53.0","5:50","",""
"7","5:52.0","46:29.0","0.99","5:53","5:53","175","177","","","","","","","","","","","","","","","5:53","","5:52.0","5:53","",""
"8","5:55.0","52:24.0","1.00","5:55","5:55","176","179","","","","","","","","","","","","","","","5:55","","5:55.0","5:55","",""
"9","5:54.0","58:18.0","1.00","5:54","5:54","178","181","","","","","","","","","","","","","","","5:54","","5:54.0","5:54","",""
"10","1:57.0","60:15.0","0.33","5:54","5:54","178","180","","","","","","","","","","","","","","","5:54","","1:57.0","5:54","",""
"统计","60:37.0","60:37.0","11.11","5:27","5:27","160","182","","","","","","","","","","","","","685","","5:27","","60:37.0","5:27","--","--"
