"计圈","时间","累积时间","距离公里","平均配速分钟/千米","平均坡度调整配速分钟/千米","平均心率bpm","最大心率bpm","累计爬升米","累计下降米","平均功率瓦","平均 W/kg","最大功率瓦","最大 W/kg","平均步频每分钟步数","平均触地时间毫秒","平均 GCT 平衡%","平均步长米","平均垂直摆动cm","平均垂直步幅比%","热量消耗卡路里","平均温度","最佳配速分钟/千米","最高步频每分钟步数","移动时间","平均移动配速分钟/千米","平均步速损失厘米/秒","平均步速损失百分比%"
"1","5:11.0","5:11.0","1.00","5:10","5:10","152","168","9","11","","","","","","","","","","","","","5:10","","5:11.0","5:10","",""
"2","5:10.0","10:21.0","1.00","5:10","5:10","162","167","5","5","","","","","","","","","","","","","5:10","","5:10.0","5:10","",""
"3","4:24.0","14:45.0","1.00","4:24","4:24","176","180","8","8","","","","","","","","","","","","","4:24","","4:24.0","4:24","",""
"4","5:06.0","19:51.0","1.00","5:06","5:06","172","179","9","9","","","","","","","","","","","","","5:06","","5:06.0","5:06","",""
"5","5:01.0","24:52.0","1.00","5:01","5:01","170","174","4","4","","","","","","","","","","","","","5:01","","5:01.0","5:01","",""
"6","4:25.0","29:17.0","1.00","4:25","4:25","180","184","11","12","","","","","","","","","","","","","4:25","","4:25.0","4:25","",""
"7","5:03.0","34:20.0","1.00","5:03","5:03","174","182","7","6","","","","","","","","","","","","","5:03","","5:03.0","5:03","",""
"8","5:04.0","39:24.0","1.00","5:04","5:04","172","175","7","8","","","","","","","","","","","","","5:04","","5:04.0","5:04","",""
"9","4:31.0","43:55.0","1.00","4:31","4:31","179","183","10","9","","","","","","","","","","","","","4:31","","4:31.0","4:31","",""
"10","4:22.0","48:17.0","0.99","4:25","4:25","182","185","5","5","","","","","","","","","","","","","4:25","","4:22.0","4:25","",""
"统计","48:26.0","48:26.0","10.01","4:50","4:50","172","185","19.0","","","","","","","","","","","","590","","4:50","","48:26.0","4:50","--","--"
