"计圈","时间","累积时间","距离公里","平均配速分钟/千米","平均坡度调整配速分钟/千米","平均心率bpm","最大心率bpm","累计爬升米","累计下降米","平均功率瓦","平均 W/kg","最大功率瓦","最大 W/kg","平均步频每分钟步数","平均触地时间毫秒","平均 GCT 平衡%","平均步长米","平均垂直摆动cm","平均垂直步幅比%","热量消耗卡路里","平均温度","最佳配速分钟/千米","最高步频每分钟步数","移动时间","平均移动配速分钟/千米","平均步速损失厘米/秒","平均步速损失百分比%"
"1","4:43.0","4:43.0","1.00","4:42","4:42","157","169","6","5","","","","","","","","","","","","","4:42","","4:43.0","4:42","",""
"2","4:43.0","9:26.0","1.00","4:43","4:43","171","175","3","4","","","","","","","","","","","","","4:43","","4:43.0","4:43","",""
"3","4:42.0","14:08.0","1.00","4:42","4:42","174","180","4","4","","","","","","","","","","","","","4:42","","4:42.0","4:42","",""
"4","4:42.0","18:50.0","1.00","4:43","4:43","177","180","4","4","","","","","","","","","","","","","4:43","","4:42.0","4:43","",""
"5","4:45.0","23:35.0","1.00","4:45","4:45","178","181","4","4","","","","","","","","","","","","","4:45","","4:45.0","4:45","",""
"6","4:44.0","28:19.0","1.00","4:44","4:44","178","181","5","4","","","","","","","","","","","","","4:44","","4:44.0","4:44","",""
"7","4:44.0","33:03.0","1.00","4:44","4:44","178","180","4","5","","","","","","","","","","","","","4:44","","4:44.0","4:44","",""
"8","4:43.0","37:46.0","1.00","4:43","4:43","179","182","5","3","","","","","","","","","","","","","4:43","","4:43.0","4:43","",""
"9","4:44.0","42:30.0","1.00","4:44","4:44","180","183","4","5","","","","","","","","","","","","","4:44","","4:44.0","4:44","",""
"10","4:39.0","47:09.0","1.00","4:39","4:39","179","182","4","3","","","","","","","","","","","","","4:39","","4:39.0","4:39","",""
"统计","47:18.0","47:18.0","10.01","4:43","4:43","175","183","13.0","","","","","","","","","","","","594","","4:43","","47:18.0","4:43","--","--"
