"计圈","时间","累积时间","距离公里","平均配速分钟/千米","平均坡度调整配速分钟/千米","平均心率bpm","最大心率bpm","累计爬升米","累计下降米","平均功率瓦","平均 W/kg","最大功率瓦","最大 W/kg","平均步频每分钟步数","平均触地时间毫秒","平均 GCT 平衡%","平均步长米","平均垂直摆动cm","平均垂直步幅比%","热量消耗卡路里","平均温度","最佳配速分钟/千米","最高步频每分钟步数","移动时间","平均移动配速分钟/千米","平均步速损失厘米/秒","平均步速损失百分比%"
"1","7:32.0","7:32.0","1.00","7:30","7:30","129","143","","","","","","","","","","","","","","","7:30","","7:32.0","7:30","",""
"2","7:20.0","14:52.0","1.00","7:18","7:18","144","150","","","","","","","","","","","","","","","7:18","","7:20.0","7:18","",""
"3","7:29.0","22:21.0","0.99","7:31","7:31","149","156","","","","","","","","","","","","","","","7:31","","7:29.0","7:31","",""
"4","7:22.0","29:43.0","1.00","7:21","7:21","154","158","","","","","","","","","","","","","","","7:21","","7:22.0","7:21","",""
"5","7:19.0","37:02.0","1.00","7:19","7:19","159","166","","","","","","","","","","","","","","","7:19","","7:19.0","7:19","",""
"6","7:03.0","44:05.0","0.99","7:05","7:05","169","174","","","","","","","","","","","","","","","7:05","","7:03.0","7:05","",""
"7","6:53.0","50:58.0","1.00","6:54","6:54","176","185","","","","","","","","","","","","","","","6:54","","6:53.0","6:54","",""
"8","5:05.0","56:03.0","0.71","7:08","7:08","185","195","","","","","","","","","","","","","","","7:08","","5:05.0","7:08","",""
"统计","56:18.0","56:18.0","10.04","5:36","5:36","157","195","","","","","","","","","","","","","579","","5:36","","56:18.0","5:36","--","--"
