"计圈","时间","累积时间","距离公里","平均配速分钟/千米","平均坡度调整配速分钟/千米","平均心率bpm","最大心率bpm","累计爬升米","累计下降米","平均功率瓦","平均 W/kg","最大功率瓦","最大 W/kg","平均步频每分钟步数","平均触地时间毫秒","平均 GCT 平衡%","平均步长米","平均垂直摆动cm","平均垂直步幅比%","热量消耗卡路里","平均温度","最佳配速分钟/千米","最高步频每分钟步数","移动时间","平均移动配速分钟/千米","平均步速损失厘米/秒","平均步速损失百分比%"
"1","6:31.0","6:31.0","1.00","6:29","6:29","121","133","","","","","","","","","","","","","","","6:29","","6:31.0","6:29","",""
"2","6:33.0","13:04.0","1.00","6:32","6:32","137","141","","","","","","","","","","","","","","","6:32","","6:33.0","6:32","",""
"3","6:22.0","19:26.0","0.99","6:23","6:23","143","150","","","","","","","","","","","","","","","6:23","","6:22.0","6:23","",""
"4","6:19.0","25:45.0","1.00","6:18","6:18","152","157","","","","","","","","","","","","","","","6:18","","6:19.0","6:18","",""
"5","6:10.0","31:55.0","0.99","6:11","6:11","160","165","","","","","","","","","","","","","","","6:11","","6:10.0","6:11","",""
"6","5:52.0","37:47.0","0.99","5:53","5:53","167","173","","","","","","","","","","","","","","","5:53","","5:52.0","5:53","",""
"7","5:52.0","43:39.0","1.00","5:53","5:53","174","179","","","","","","","","","","","","","","","5:53","","5:52.0","5:53","",""
"8","5:37.0","49:16.0","1.00","5:37","5:37","181","186","","","","","","","","","","","","","","","5:37","","5:37.0","5:37","",""
"9","4:41.0","53:57.0","0.83","5:38","5:38","187","190","","","","","","","","","","","","","","","5:38","","4:41.0","5:38","",""
"统计","54:15.0","54:15.0","10.02","5:24","5:24","156","190","","","","","","","","","","","","","586","","5:24","","54:15.0","5:24","--","--"
