"计圈","时间","累积时间","距离公里","平均配速分钟/千米","平均坡度调整配速分钟/千米","平均心率bpm","最大心率bpm","累计爬升米","累计下降米","平均功率瓦","平均 W/kg","最大功率瓦","最大 W/kg","平均步频每分钟步数","平均触地时间毫秒","平均 GCT 平衡%","平均步长米","平均垂直摆动cm","平均垂直步幅比%","热量消耗卡路里","平均温度","最佳配速分钟/千米","最高步频每分钟步数","移动时间","平均移动配速分钟/千米","平均步速损失厘米/秒","平均步速损失百分比%"
"1","6:19.0","6:19.0","1.00","6:18","6:18","130","144","8","16","","","","","","","","","","","","","6:18","","6:19.0","6:18","",""
"2","6:14.0","12:33.0","1.00","6:14","6:14","136","146","2","7","","","","","","","","","","","","","6:14","","6:14.0","6:14","",""
"3","6:24.0","18:57.0","1.00","6:24","6:24","141","149","10","6","","","","","","","","","","","","","6:24","","6:24.0","6:24","",""
"4","6:09.0","25:06.0","1.00","6:09","6:09","140","147","2","13","","","","","","","","","","","","","6:09","","6:09.0","6:09","",""
"5","6:11.0","31:17.0","1.00","6:11","6:11","143","150","5","7","","","","","","","","","","","","","6:11","","6:11.0","6:11","",""
"6","6:02.0","37:19.0","1.00","6:02","6:02","148","157","4","5","","","","","","","","","","","","","6:02","","6:02.0","6:02","",""
"7","6:08.0","43:27.0","1.00","6:08","6:08","148","152","6","4","","","","","","","","","","","","","6:08","","6:08.0","6:08","",""
"8","6:07.0","49:34.0","1.00","6:07","6:07","146","153","4","8","","","","","","","","","","","","","6:07","","6:07.0","6:07","",""
"9","6:01.0","55:35.0","1.00","6:01","6:01","146","149","5","5","","","","","","","","","","","","","6:01","","6:01.0","6:01","",""
"10","6:01.0","61:36.0","1.00","6:01","6:01","145","149","4","4","","","","","","","","","","","","","6:01","","6:01.0","6:01","",""
"11","5:53.0","67:29.0","1.00","5:53","5:53","149","153","4","4","","","","","","","","","","","","","5:53","","5:53.0","5:53","",""
"12","5:56.0","73:25.0","1.00","5:56","5:56","150","154","8","7","","","","","","","","","","","","","5:56","","5:56.0","5:56","",""
"13","8:46.0","82:11.0","1.00","8:46","8:46","143","154","8","8","","","","","","","","","","","","","8:46","","8:46.0","8:46","",""
"14","5:39.0","87:50.0","1.00","5:40","5:40","150","156","6","5","","","","","","","","","","","","","5:40","","5:39.0","5:40","",""
"15","5:45.0","93:35.0","1.00","5:45","5:45","149","154","5","5","","","","","","","","","","","","","5:45","","5:45.0","5:45","",""
"16","5:41.0","99:16.0","1.00","5:41","5:41","153","158","3","4","","","","","","","","","","","","","5:41","","5:41.0","5:41","",""
"17","5:45.0","105:01.0","1.00","5:45","5:45","154","158","6","6","","","","","","","","","","","","","5:45","","5:45.0","5:45","",""
"18","5:45.0","110:46.0","1.00","5:45","5:45","155","158","5","6","","","","","","","","","","","","","5:45","","5:45.0","5:45","",""
"19","5:33.0","116:19.0","1.00","5:33","5:33","157","165","4","4","","","","","","","","","","","","","5:33","","5:33.0","5:33","",""
"20","4:31.0","120:50.0","1.00","4:31","4:31","176","179","7","2","","","","","","","","","","","","","4:31","","4:31.0","4:31","",""
"21","1:05.0","121:55.0","0.24","4:29","4:29","181","182","3","","","","","","","","","","","","","","4:29","","1:05.0","4:29","",""
"统计","122:15.0","122:15.0","20.27","6:01","6:01","148","182","29.0","","","","","","","","","","","","1180","","6:01","","122:15.0","6:01","--","--"
