"计圈","时间","累积时间","距离公里","平均配速分钟/千米","平均坡度调整配速分钟/千米","平均心率bpm","最大心率bpm","累计爬升米","累计下降米","平均功率瓦","平均 W/kg","最大功率瓦","最大 W/kg","平均步频每分钟步数","平均触地时间毫秒","平均 GCT 平衡%","平均步长米","平均垂直摆动cm","平均垂直步幅比%","热量消耗卡路里","平均温度","最佳配速分钟/千米","最高步频每分钟步数","移动时间","平均移动配速分钟/千米","平均步速损失厘米/秒","平均步速损失百分比%"
"1","6:44.0","6:44.0","1.00","6:42","6:42","126","137","","","","","","","","","","","","","","","6:42","","6:44.0","6:42","",""
"2","6:36.0","13:20.0","1.00","6:37","6:37","138","142","","","","","","","","","","","","","","","6:37","","6:36.0","6:37","",""
"3","6:38.0","19:58.0","1.00","6:38","6:38","143","148","","","","","","","","","","","","","","","6:38","","6:38.0","6:38","",""
"4","6:33.0","26:31.0","0.99","6:35","6:35","146","149","","","","","","","","","","","","","","","6:35","","6:33.0","6:35","",""
"5","6:25.0","32:56.0","1.00","6:26","6:26","151","159","","","","","","","","","","","","","","","6:26","","6:25.0","6:26","",""
"6","6:15.0","39:11.0","0.99","6:17","6:17","158","162","","","","","","","","","","","","","","","6:17","","6:15.0","6:17","",""
"7","6:04.0","45:15.0","1.00","6:03","6:03","166","171","","","","","","","","","","","","","","","6:03","","6:04.0","6:03","",""
"8","5:52.0","51:07.0","1.00","5:53","5:53","174","181","","","","","","","","","","","","","","","5:53","","5:52.0","5:53","",""
"9","5:40.0","56:47.0","1.00","5:39","5:39","185","190","","","","","","","","","","","","","","","5:39","","5:40.0","5:39","",""
"10","2:13.0","59:00.0","0.38","5:48","5:48","189","191","","","","","","","","","","","","","","","5:48","","2:13.0","5:48","",""
"统计","59:19.0","59:19.0","11.01","5:23","5:23","154","191","","","","","","","","","","","","","626","","5:23","","59:19.0","5:23","--","--"
