"计圈","时间","累积时间","距离公里","平均配速分钟/千米","平均坡度调整配速分钟/千米","平均心率bpm","最大心率bpm","累计爬升米","累计下降米","平均功率瓦","平均 W/kg","最大功率瓦","最大 W/kg","平均步频每分钟步数","平均触地时间毫秒","平均 GCT 平衡%","平均步长米","平均垂直摆动cm","平均垂直步幅比%","热量消耗卡路里","平均温度","最佳配速分钟/千米","最高步频每分钟步数","移动时间","平均移动配速分钟/千米","平均步速损失厘米/秒","平均步速损失百分比%"
"1","6:18.0","6:18.0","1.00","6:16","6:16","126","139","","","","","","","","","","","","","","","6:16","","6:18.0","6:16","",""
"2","6:07.0","12:25.0","1.00","6:07","6:07","139","145","","","","","","","","","","","","","","","6:07","","6:07.0","6:07","",""
"3","5:48.0","18:13.0","1.00","5:46","5:46","166","181","","","","","","","","","","","","","","","5:46","","5:48.0","5:46","",""
"4","6:28.0","24:41.0","1.00","6:27","6:27","155","185","","","","","","","","","","","","","","","6:27","","6:28.0","6:27","",""
"5","6:48.0","31:29.0","0.99","6:50","6:50","161","189","","","","","","","","","","","","","","","6:50","","6:48.0","6:50","",""
"6","6:41.0","38:10.0","0.99","6:44","6:44","167","190","","","","","","","","","","","","","","","6:44","","6:41.0","6:44","",""
"7","6:43.0","44:53.0","1.00","6:43","6:43","170","191","","","","","","","","","","","","","","","6:43","","6:43.0","6:43","",""
"8","6:42.0","51:35.0","1.01","6:39","6:39","170","192","","","","","","","","","","","","","","","6:39","","6:42.0","6:39","",""
"9","3:15.0","54:50.0","0.58","5:35","5:35","190","193","","","","","","","","","","","","","","","5:35","","3:15.0","5:35","",""
"统计","55:06.0","55:06.0","9.57","5:45","5:45","159","193","","","","","","","","","","","","","517","","5:45","","55:06.0","5:45","--","--"
