"计圈","时间","累积时间","距离公里","平均配速分钟/千米","平均坡度调整配速分钟/千米","平均心率bpm","最大心率bpm","累计爬升米","累计下降米","平均功率瓦","平均 W/kg","最大功率瓦","最大 W/kg","平均步频每分钟步数","平均触地时间毫秒","平均 GCT 平衡%","平均步长米","平均垂直摆动cm","平均垂直步幅比%","热量消耗卡路里","平均温度","最佳配速分钟/千米","最高步频每分钟步数","移动时间","平均移动配速分钟/千米","平均步速损失厘米/秒","平均步速损失百分比%"
"1","6:16.0","6:16.0","1.00","6:15","6:15","122","142","","","","","","","","","","","","","","","6:15","","6:16.0","6:15","",""
"2","6:10.0","12:26.0","1.00","6:10","6:10","133","140","","","","","","","","","","","","","","","6:10","","6:10.0","6:10","",""
"3","6:22.0","18:48.0","1.00","6:22","6:22","138","144","","","","","","","","","","","","","","","6:22","","6:22.0","6:22","",""
"4","6:12.0","25:00.0","1.00","6:13","6:13","143","146","","","","","","","","","","","","","","","6:13","","6:12.0","6:13","",""
"5","6:03.0","31:03.0","1.00","6:03","6:03","145","149","","","","","","","","","","","","","","","6:03","","6:03.0","6:03","",""
"6","3:55.0","34:58.0","0.63","6:10","6:10","147","150","","","","","","","","","","","","","","","6:10","","3:55.0","6:10","",""
"统计","35:03.0","35:03.0","5.64","6:12","6:12","137","150","","","","","","","","","","","","","302","","6:12","","35:03.0","6:12","--","--"
