"计圈","时间","累积时间","距离公里","平均配速分钟/千米","平均坡度调整配速分钟/千米","平均心率bpm","最大心率bpm","累计爬升米","累计下降米","平均功率瓦","平均 W/kg","最大功率瓦","最大 W/kg","平均步频每分钟步数","平均触地时间毫秒","平均 GCT 平衡%","平均步长米","平均垂直摆动cm","平均垂直步幅比%","热量消耗卡路里","平均温度","最佳配速分钟/千米","最高步频每分钟步数","移动时间","平均移动配速分钟/千米","平均步速损失厘米/秒","平均步速损失百分比%"
"1","6:12.0","6:12.0","1.00","6:10","6:10","121","136","","","","","","","","","","","","","","","6:10","","6:12.0","6:10","",""
"2","6:07.0","12:19.0","0.99","6:09","6:09","135","139","","","","","","","","","","","","","","","6:09","","6:07.0","6:09","",""
"3","5:54.0","18:13.0","1.00","5:55","5:55","165","181","","","","","","","","","","","","","","","5:55","","5:54.0","5:55","",""
"4","6:36.0","24:49.0","1.01","6:33","6:33","153","187","","","","","","","","","","","","","","","6:33","","6:36.0","6:33","",""
"5","7:36.0","32:25.0","0.99","7:38","7:38","157","189","","","","","","","","","","","","","","","7:38","","7:36.0","7:38","",""
"6","8:09.0","40:34.0","1.00","8:07","8:07","158","190","","","","","","","","","","","","","","","8:07","","8:09.0","8:07","",""
"7","7:58.0","48:32.0","1.00","7:57","7:57","159","192","","","","","","","","","","","","","","","7:57","","7:58.0","7:57","",""
"8","7:47.0","56:19.0","1.00","7:46","7:46","161","192","","","","","","","","","","","","","","","7:46","","7:47.0","7:46","",""
"9","7:19.0","63:38.0","1.00","7:19","7:19","167","193","","","","","","","","","","","","","","","7:19","","7:19.0","7:19","",""
"10","3:19.0","66:57.0","0.53","6:14","6:14","186","195","","","","","","","","","","","","","","","6:14","","3:19.0","6:14","",""
"统计","67:17.0","67:17.0","10.97","6:08","6:08","155","195","","","","","","","","","","","","","586","","6:08","","67:17.0","6:08","--","--"
